<<<<<<< HEAD
2,1663451400,171.0,82838,166.0,20149
30,1663451400,960.0,7,,0
36,1663451400,440.0,2,,0
39,1663451400,6.0,1469,,0
43,1663451400,,0,80.0,179
44,1663451400,,0,261.0,547
45,1663451400,,0,65.0,116
48,1663451400,,0,32.0,25
50,1663451400,,0,31.0,34
52,1663451400,1.0,100,,0
53,1663451400,7.0,14135,6.0,116
54,1663451400,22.0,5,,0
62,1663451400,84.0,9101,74.0,1
66,1663451400,293.0,3508,286.0,54
70,1663451400,,0,1037.0,6829
91,1663451400,110.0,3002,,0
93,1663451400,25.0,5,20.0,1
95,1663451400,138.0,203,,0
97,1663451400,734.0,500,,0
99,1663451400,,0,7755.0,6440
101,1663451400,778.0,1,744.0,1542
103,1663451400,1599.0,1070,1521.0,28
105,1663451400,1538.0,600,1532.0,1
107,1663451400,1672.0,1578,,0
109,1663451400,886.0,5200,865.0,1228
111,1663451400,7399.0,1,7320.0,1
113,1663451400,,0,331.0,1
115,1663451400,,0,269.0,103
117,1663451400,158.0,1,,0
119,1663451400,,0,89.0,13
139,1663451400,7463.0,109,7452.0,1096
141,1663451400,,0,4900.0,8
143,1663451400,,0,2442.0,1
145,1663451400,134.0,2779,134.0,83
147,1663451400,,0,85.0,8
149,1663451400,,0,52.0,2
157,1663451400,,0,1346.0,1619
159,1663451400,,0,840.0,12
161,1663451400,,0,405.0,1
163,1663451400,,0,1042.0,2465
165,1663451400,,0,530.0,2
167,1663451400,,0,310.0,2
169,1663451400,464.0,647,,0
171,1663451400,,0,270.0,2
179,1663451400,56.0,1,,0
187,1663451400,,0,254.0,2
199,1663451400,,0,39.0,1521
201,1663451400,23.0,12,21.0,750
203,1663451400,,0,89.0,1402
205,1663451400,650.0,441,648.0,521
207,1663451400,7400.0,22,7306.0,893
209,1663451400,661.0,1272,650.0,1835
211,1663451400,,0,1480.0,1288
213,1663451400,,0,1398.0,409
215,1663451400,,0,1546.0,607
217,1663451400,,0,770.0,624
219,1663451400,6853.0,417,6853.0,1060
221,1663451400,4.0,3002,3.0,336
223,1663451400,,0,540.0,1258
225,1663451400,644.0,917,641.0,285
227,1663451400,5.0,67,,0
229,1663451400,4.0,502,3.0,1197
231,1663451400,259.0,3163,252.0,4644
233,1663451400,346.0,1,300.0,1
235,1663451400,230.0,2,,0
237,1663451400,,0,206.0,104
239,1663451400,388.0,2,323.0,571
241,1663451400,150.0,200,,0
243,1663451400,784.0,1,769.0,1
245,1663451400,,0,919.0,2749
247,1663451400,,0,306.0,430
249,1663451400,78.0,1,77.0,303
251,1663451400,31.0,33,29.0,621
255,1663451400,,0,663.0,194
257,1663451400,7400.0,1,7355.0,2024
259,1663451400,668.0,1,668.0,815
261,1663451400,,0,1475.0,3
263,1663451400,1442.0,2,1422.0,3
265,1663451400,1594.0,1,1585.0,1117
267,1663451400,769.0,21,769.0,247
269,1663451400,6874.0,319,6861.0,100
273,1663451400,584.0,1,,0
288,1663451400,603.0,6,603.0,1
299,1663451400,400.0,60,330.0,40
301,1663451400,185.0,9,172.0,2
303,1663451400,72.0,9,60.0,34
305,1663451400,505.0,8,335.0,1
307,1663451400,,0,50.0,4
309,1663451400,78.0,4,,0
311,1663451400,87.0,6,80.0,1
313,1663451400,5.0,1,,0
314,1663451400,3.0,72103,2.0,1340
315,1663451400,38.0,25,38.0,8
317,1663451400,88.0,5,,0
321,1663451400,49.0,180,,0
329,1663451400,65.0,200,63.0,730
331,1663451400,54.0,400,,0
333,1663451400,37.0,53,36.0,152
335,1663451400,99.0,24,84.0,3
339,1663451400,,0,12.0,268
341,1663451400,37.0,16,,0
349,1663451400,110.0,3,,0
353,1663451400,51.0,31,,0
359,1663451400,,0,47.0,689
361,1663451400,95.0,54,79.0,480
363,1663451400,23.0,15130,22.0,600
365,1663451400,97.0,2,95.0,72
371,1663451400,236.0,31,236.0,1048
373,1663451400,284.0,923,278.0,1168
377,1663451400,158.0,137,158.0,899
379,1663451400,174.0,1358,172.0,588
383,1663451400,590.0,2301,589.0,3808
385,1663451400,734.0,10932,730.0,8320
389,1663451400,832.0,5085,828.0,1935
391,1663451400,997.0,1942,992.0,1943
395,1663451400,,0,633.0,78
397,1663451400,796.0,300,,0
401,1663451400,,0,55.0,6699
403,1663451400,70.0,1,69.0,1
405,1663451400,,0,820.0,1
407,1663451400,88.0,1,88.0,4
413,1663451400,1109.0,1,1109.0,1
426,1663451400,50.0,1,,0
428,1663451400,123.0,1,100.0,2
434,1663451400,108.0,13014,107.0,20
436,1663451400,67.0,38,65.0,10
438,1663451400,68.0,60,,0
440,1663451400,118.0,4337,110.0,4776
442,1663451400,50.0,40,49.0,14624
444,1663451400,208.0,1002,201.0,69049
447,1663451400,117.0,4867,114.0,11583
449,1663451400,1144.0,2924,1103.0,8751
451,1663451400,,0,11170.0,1377
453,1663451400,144.0,18699,143.0,43204
464,1663451400,348.0,16,,0
526,1663451400,68.0,3576,,0
530,1663451400,417.0,9,,0
532,1663451400,,0,233.0,635
536,1663451400,2908.0,12317,2801.0,745
542,1663451400,137.0,3,,0
548,1663451400,,0,2000.0,1
554,1663451400,6.0,136073,5.0,14825
555,1663451400,5.0,138973,4.0,2124
556,1663451400,4.0,33100,,0
557,1663451400,5.0,43138,4.0,1033
558,1663451400,3.0,7463,,0
559,1663451400,6.0,10000,,0
560,1663451400,178.0,58057,176.0,85062
561,1663451400,169.0,40816,169.0,24046
562,1663451400,74.0,222134,72.0,97915
563,1663451400,127.0,27810,123.0,17985
564,1663451400,158.0,34267,151.0,25867
565,1663451400,277.0,155748,269.0,88057
566,1663451400,157.0,58624,153.0,34512
567,1663451400,95.0,200,92.0,2973
569,1663451400,,0,2045.0,2728
571,1663451400,,0,1860.0,68
573,1663451400,1858.0,2165,1839.0,4460
575,1663451400,1761.0,2000,1708.0,96
577,1663451400,1110.0,2,1089.0,3
579,1663451400,,0,333.0,2
581,1663451400,185.0,1,55.0,2
590,1663451400,51.0,1,50.0,1
592,1663451400,58.0,2,57.0,1103
596,1663451400,6.0,2,,0
626,1663451400,,0,350.0,1
638,1663451400,390.0,2,,0
640,1663451400,585.0,1,260.0,2
646,1663451400,1.0,1,,0
654,1663451400,,0,300.0,1
662,1663451400,1049.0,1,,0
753,1663451400,137.0,1,,0
805,1663451400,,0,200.0,24
806,1663451400,18.0,4006,18.0,6
807,1663451400,,0,15.0,4901
808,1663451400,2.0,97,2.0,9946
809,1663451400,5.0,7000,4.0,7184
810,1663451400,23.0,24772,18.0,13960
811,1663451400,407.0,6632,393.0,4306
817,1663451400,349.0,12,,0
819,1663451400,35.0,300,35.0,300
820,1663451400,32.0,3664,,0
