5m_range,1h_range,6h_range,5m_mean
"(1811.5, 2542.5)","(1878.5, 2509.5)","(1890.125, 2783.875)",2318.358974358974
"(764.0, 880.0)","(776.0, 916.0)","(610.0, 844.0)",824.1168831168832
"(2852.0, 4148.0)","(2294.5, 3293.5)","(2254.375, 2809.625)",3472.2719665271966
"(318.75, 373.25)","(245.5, 342.5)","(192.5, 229.5)",346.27272727272725
"(7299766.5, 7400223.5)","(7396993.25, 7603006.75)","(6754998.875, 7629510.125)",7348863.491525424
"(6455886.0, 6515072.0)","(6549589.375, 6788377.625)","(6845407.25, 8562580.75)",6489144.724324324
"(2944765.0, 2993447.0)","(2718521.0, 2953134.0)","(2354364.25, 2654069.75)",3006545.8577777776
"(440367.875, 477632.125)","(440504.0, 509496.0)","(482478.0, 551478.0)",454490.47222222225
"(1471597.0, 1498253.0)","(1532469.5, 1570202.5)","(1918783.75, 2784440.25)",1482116.6851851852
"(1265774.25, 1310273.75)","(1291064.125, 1340968.875)","(1221295.75, 1331306.25)",1294342.3923076922
"(44084.625, 48160.375)","(42874.5, 51637.5)","(36478.5, 53057.5)",47317.34705882353
"(15781660.375, 15949137.625)","(16179440.5, 16503915.5)","(15997226.875, 16581154.125)",15869183.777777778
"(1132389.5, 1187264.5)","(1096593.0, 1199821.0)","(1082886.75, 1241456.25)",1130062.7388059702
"(331.875, 464.125)","(46.25, 185.75)","(96.25, 159.75)",340.366935483871
"(10253.25, 10568.75)","(10206.0, 10385.0)","(11044.125, 13633.875)",10510.054794520547
"(237.5, 262.5)","(267.75, 302.25)","(212.0, 268.0)",251.21978021978023
"(2147.5, 2204.5)","(2086.875, 2216.125)","(2006.5, 2213.5)",2162.3127272727274
"(100004.5, 199995.5)","(134552.5, 204543.5)","(113109.5, 206888.5)",166456.72297297296
"(1135.0, 1265.0)","(1298.0, 1400.0)","(1074.0, 1234.0)",1198.5214007782101
"(550.5, 582.5)","(627.125, 747.875)","(509.125, 652.875)",563.7237762237762
"(270712.5, 366651.5)","(268058.0, 367058.0)","(99999.75, 650000.25)",339454.04672897194
"(968697.5, 1028696.5)","(935001.5, 1064998.5)","(890302.25, 1130052.75)",994560.0862944162
"(253.0, 347.0)","(269.25, 322.75)","(299.25, 368.75)",317.2276119402985
"(867.875, 882.125)","(938.625, 1012.375)","(907.375, 1000.625)",870.1556603773585
"(248.0, 340.0)","(261.0, 356.0)","(242.875, 338.125)",321.3235294117647
"(60607.5, 62444.5)","(56615.0, 60139.0)","(48717.5, 70288.5)",61198.51971326165
"(1311.0, 1335.0)","(1156.5, 1311.5)","(1065.25, 1290.75)",1318.2038461538461
"(1304.875, 1470.125)","(1360.125, 1530.875)","(1216.75, 1424.25)",1404.0986842105262
"(574.375, 683.625)","(638.5, 742.5)","(648.25, 779.75)",579.1910112359551
"(12554.0, 12646.0)","(12661.5, 12966.5)","(12330.25, 13241.75)",12621.525291828793
"(583.5, 641.5)","(550.5, 587.5)","(548.5, 602.5)",603.1283185840708
"(6.0, 8.0)","(7.0, 7.0)","(7.5, 10.5)",6.214285714285714
"(42.0, 42.0)","(41.5, 42.5)","(15.5, 48.5)",43.56923076923077
"(282.0, 298.0)","(274.875, 305.125)","(257.875, 284.125)",291.68924302788844
"(125.0, 131.0)","(129.0, 141.0)","(139.5, 175.5)",131.16379310344828
"(93.5, 98.5)","(100.0, 108.0)","(87.0, 105.0)",95.69680851063829
"(15940.5, 16257.5)","(15880.375, 16599.625)","(15323.5, 17040.5)",16127.607547169811
"(549.0, 549.0)","(516.5, 581.5)","(430.5, 656.5)",522.44
"(248.0, 268.0)","(242.5, 289.5)","(249.0, 284.0)",266.94930875576034
"(1375.0, 3625.0)","(-564.0, 1764.0)","(84.0, 910.0)",1864.6486486486488
"(5909931.0, 5990069.0)","(5801405.5, 5966080.5)","(3676834.625, 5024572.375)",5952033.265625
"(1528.0, 1536.0)","(1453.375, 1524.625)","(1359.0, 1449.0)",1535.3809523809523
"(1700.5, 1751.5)","(1633.625, 1691.375)","(1548.5, 1653.5)",1725.8757763975154
"(1484.0, 1510.0)","(1420.5, 1487.5)","(1335.875, 1427.125)",1505.7386363636363
"(1304.0, 1852.0)","(1445.0, 1893.0)","(1436.875, 1785.125)",1680.8250950570343
"(1670.5, 1867.5)","(1611.5, 2184.5)","(1721.25, 2018.75)",1813.4171779141104
"(50.0, 62.0)","(61.5, 72.5)","(32.375, 66.625)",56.76655052264808
"(2194.5, 2307.5)","(2158.25, 2691.75)","(2251.25, 2655.75)",2276.112359550562
"(2055.75, 2472.25)","(2078.125, 2425.875)","(2133.25, 2415.75)",2285.2
"(1115.5, 1506.5)","(821.75, 1294.25)","(909.5, 1106.5)",1300.84
"(1792.0, 4142.0)","(2458.25, 3170.75)","(2623.875, 3089.125)",3853.7696629213483
"(1983.5, 1994.5)","(1426.875, 2573.125)","(941.375, 1388.625)",1991.6
"(1563.0, 1653.0)","(1380.25, 1618.75)","(1493.125, 1666.875)",1614.8105263157895
"(4388.0, 4750.0)","(5001.25, 6043.75)","(5350.0, 6250.0)",4577.578947368421
"(5055.0, 5145.0)","(5030.375, 5118.625)","(5012.625, 5094.375)",5067.969111969112
"(6108.0, 6148.0)","(6098.375, 6238.625)","(6019.5, 6178.5)",6104.484
"(7280.0, 7370.0)","(7338.75, 7583.25)","(7313.125, 7456.875)",7319.806451612903
"(2739.125, 2792.875)","(2732.625, 2876.375)","(2511.5, 2654.5)",2763.8662790697676
"(3993.5, 4056.5)","(3667.25, 4003.75)","(3488.125, 3762.875)",4023.0284360189576
"(44.5, 47.5)","(38.875, 49.125)","(34.5, 39.5)",44.64529914529915
"(2500.0, 2500.0)","(2500.0, 2500.0)","(-419.125, 1619.125)",1985.2941176470588
"(123.5, 134.5)","(127.0, 133.0)","(123.5, 138.5)",137.2980132450331
"(29285.5, 46250.5)","(35245.5, 40259.5)","(41712.0, 60062.0)",43596.199004975126
"(823.5, 824.5)","(822.5, 849.5)","(780.5, 866.5)",830.5406698564593
"(835.0, 849.0)","(847.5, 882.5)","(851.5, 890.5)",833.1310344827587
"(777.25, 814.75)","(850.375, 873.625)","(866.375, 907.625)",792.0406779661017
"(750412.25, 816357.75)","(771528.75, 812471.25)","(751487.875, 817147.125)",805403.6319444445
"(1230.125, 1375.875)","(1262.5, 1377.5)","(989.25, 1302.75)",1329.326923076923
"(7499.5, 7530.5)","(7659.5, 7807.5)","(8156.75, 9830.25)",7510.613333333334
"(2104.625, 2529.375)","(1871.625, 2255.375)","(1927.25, 2032.75)",2196.3760683760684
"(12283.25, 12284.75)","(12274.0, 12543.0)","(12081.5, 12378.5)",12288.988826815643
"(679.0, 687.0)","(648.875, 713.125)","(595.0, 669.0)",708.2830188679245
"(43225199.625, 43946896.375)","(42089200.75, 43860697.25)","(40244159.0, 41709919.0)",43496250.05747127
"(1593.0, 2287.0)","(1867.625, 1908.375)","(1871.25, 2140.75)",2656.3888888888887
"(3601.125, 3722.875)","(3094.125, 3496.875)","(3570.0, 4050.0)",3770.309523809524
"(1266989.125, 1320393.875)","(1868067.75, 1929106.25)","(1851350.625, 1934337.375)",1281482.3292682928
"(306.25, 317.75)","(312.375, 321.625)","(314.0, 340.0)",313.085910652921
"(143423059.75, 146515780.25)","(144031376.0, 148308530.0)","(157489634.0, 174302332.0)",145090272.5136612
"(146325095.75, 147602678.25)","(145013210.25, 149520123.75)","(156512713.875, 173153745.125)",147103879.19135803
"(793.25, 864.75)","(781.875, 808.125)","(764.5, 795.5)",882.0457142857143
"(2264.875, 2294.125)","(2235.375, 2396.625)","(2059.125, 2490.875)",2271.703125
"(92004.125, 123377.875)","(97851.625, 130068.375)","(96108.875, 116207.125)",121352.02631578948
"(48440.0, 82736.0)","(55770.5, 68229.5)","(57889.125, 80410.875)",76811.9512195122
"(38700.5, 41473.5)","(38779.5, 43182.5)","(38073.125, 43615.875)",43655.45977011494
"(3257.25, 3292.75)","(3198.875, 3326.125)","(3124.625, 3570.375)",3287.9791666666665
"(1766.5, 1779.5)","(1655.25, 1794.75)","(1522.75, 1619.25)",1795.234375
"(3390.75, 3509.25)","(3434.25, 3563.75)","(3278.625, 3762.375)",3456.069182389937
"(535530465.625, 542512298.375)","(547602462.75, 570157537.25)","(496168483.0, 571731581.0)",538453501.5449438
"(941117.5, 968882.5)","(856375.125, 985278.875)","(725583.25, 879019.75)",956383.7662337662
"(122000.0, 156000.0)","(126501.0, 151499.0)","(128833.25, 150166.75)",130566.76068376069
"(46160.75, 61777.25)","(35926.25, 59855.75)","(16679.625, 32309.375)",45021.01204819277
"(1112833.0, 1183831.0)","(853564.5, 1038793.5)","(863162.125, 956763.875)",1137215.327510917
"(1792.0, 1852.0)","(1755.5, 1824.5)","(1788.25, 1842.75)",1846.25
"(36857.25, 43142.75)","(34328.75, 41575.25)","(28588.625, 38024.375)",43837.10344827586
"(573499.75, 756873.25)","(547257.0, 751343.0)","(548591.375, 754830.625)",632541.191588785
"(930.75, 983.25)","(927.0, 945.0)","(907.75, 985.25)",985.5531914893617
"(34228.875, 40325.125)","(36066.5, 40385.5)","(37581.5, 43284.5)",38298.1037735849
"(8571.75, 8667.25)","(8535.75, 8782.25)","(8059.125, 8596.875)",8628.31690140845
"(467.0, 467.0)","(462.5, 471.5)","(315.25, 636.75)",453.729537366548
"(315.5, 764.5)","(501.25, 686.75)","(510.0, 791.0)",563.8684210526316
"(307.5, 798.5)","(360.25, 655.75)","(400.25, 550.75)",692.5077519379845
"(13.5, 62.5)","(28.375, 57.625)","(25.0, 69.0)",81.91975308641975
"(222.75, 395.25)","(283.25, 334.75)","(206.0, 404.0)",338.2825112107623
"(111.5, 144.5)","(117.5, 138.5)","(96.5, 133.5)",133.85169491525423
"(1834.5, 1841.5)","(1745.875, 1910.125)","(1972.75, 2342.25)",1855.7155172413793
"(60.75, 61.25)","(59.5, 60.5)","(10.25, 119.75)",103.08333333333333
"(566.5, 615.5)","(587.0, 637.0)","(506.5, 714.5)",591.7806691449814
"(675.625, 1726.375)","(719.0, 1683.0)","(336.0, 1387.0)",1137.411111111111
"(49.0, 49.0)","(-76.5, 174.5)","(36.25, 175.75)",44.76588628762542
"(312.0, 358.0)","(326.375, 360.625)","(325.0, 459.0)",338.53629032258067
"(625.5, 1374.5)","(555.0, 1213.0)","(436.625, 1361.375)",842.6007604562737
"(803.5, 876.5)","(846.0, 886.0)","(823.0, 929.0)",819.6184210526316
"(2967.0, 3017.0)","(2879.375, 2954.625)","(2637.0, 2919.0)",2982.56050955414
"(11866.0, 11914.0)","(11909.75, 12050.25)","(11773.75, 12032.25)",11874.70588235294
"(3150.625, 3189.375)","(3049.125, 3197.875)","(2852.125, 3130.875)",3170.248120300752
"(12157.125, 12211.875)","(12256.875, 12405.125)","(12147.75, 12413.25)",12187.836448598131
"(435.5, 450.5)","(438.0, 452.0)","(442.375, 455.625)",444.75087719298244
"(40.0, 42.0)","(40.0, 42.0)","(43.5, 48.5)",39.619565217391305
"(283.25, 378.75)","(308.0, 326.0)","(303.5, 326.5)",356.728813559322
"(-3648.5, 4124.5)","(126.5, 337.5)","(188.0, 241.0)",6791.529914529914
"(2647.0, 2671.0)","(2594.125, 2737.875)","(2351.75, 3311.25)",2653.7756653992396
"(15433.75, 16043.25)","(15194.125, 15561.875)","(15382.5, 15693.5)",15781.034722222223
"(11243.875, 11779.125)","(11276.875, 11523.125)","(11337.875, 11611.125)",11709.633333333333
"(7254.5, 7611.5)","(7361.625, 7980.375)","(7417.125, 7931.875)",7542.9375
"(73.5, 80.5)","(76.0, 88.0)","(55.5, 90.5)",74.27075812274369
"(130.5, 137.5)","(117.375, 142.625)","(116.5, 144.5)",128.92779783393502
"(2916.5, 2921.5)","(2800.75, 2910.25)","(2596.125, 2877.875)",2930.993670886076
"(-225.0, 1267.0)","(440.5, 801.5)","(313.25, 713.75)",1324.9087301587301
"(11756.0, 11801.0)","(11823.5, 11976.5)","(11688.0, 11962.0)",11775.6
"(9516.5, 10483.5)","(9389.75, 9940.25)","(9451.25, 9784.75)",9901.910447761195
"(40.5, 41.5)","(39.5, 42.5)","(41.0, 49.0)",39.4448275862069
"(39.0, 39.0)","(38.5, 39.5)","(41.0, 45.0)",38.4270462633452
"(2409.0, 3191.0)","(973.125, 6630.875)","(2311.5, 3980.5)",3137.793103448276
"(33105.5, 35455.5)","(33957.0, 37183.0)","(34422.0, 36439.0)",36082.055555555555
"(729.0, 1023.0)","(700.0, 1036.0)","(752.75, 1327.25)",988.248275862069
"(4.5, 5.5)","(4.0, 5.0)","(3.5, 4.5)",4.629213483146067
"(507.0, 517.0)","(484.25, 515.75)","(490.875, 541.125)",511.76354679802955
"(3.0, 3.0)","(3.0, 3.0)","(3.0, 3.0)",2.9594594594594597
"(218197.875, 225805.125)","(225400.25, 229465.75)","(231766.5, 248151.5)",223907.04205607477
"(388.0, 396.0)","(349.875, 386.125)","(346.5, 363.5)",390.996138996139
"(493.0, 515.0)","(447.875, 472.125)","(486.375, 559.625)",500.1526717557252
"(46.0, 48.0)","(43.0, 47.0)","(43.5, 46.5)",46.35909090909091
"(68.0, 82.0)","(64.0, 70.0)","(54.5, 67.5)",95.23423423423424
"(10568.5, 11111.5)","(10517.625, 11754.375)","(11226.0, 13984.0)",10626.985294117647
"(36734.0, 42454.0)","(37572.375, 39548.625)","(37941.0, 38588.0)",40531.85
"(148600.125, 149745.875)","(149046.0, 150221.0)","(149423.75, 150310.25)",149653.67307692306
"(67.0, 67.0)","(67.5, 68.5)","(58.5, 69.5)",67.05333333333333
"(117.5, 4970.5)","(56.0, 658.0)","(86.375, 255.625)",8006.708171206225
"(8.5, 9.5)","(7.5, 12.5)","(8.5, 13.5)",9.563218390804598
"(35.0, 54.0)","(42.0, 52.0)","(47.5, 56.5)",49.65298507462686
"(84.0, 99.0)","(86.5, 93.5)","(71.875, 88.125)",95.39166666666667
"(46.5, 51.5)","(43.5, 44.5)","(33.5, 40.5)",47.71974522292994
"(626.5, 691.5)","(562.5, 615.5)","(670.5, 973.5)",640.0769230769231
"(40.0, 60.0)","(32.5, 43.5)","(32.5, 41.5)",54.8646288209607
"(85.5, 86.5)","(85.5, 92.5)","(71.5, 88.5)",88.953125
"(554.0, 758.0)","(545.75, 752.25)","(560.0, 752.0)",1251.740157480315
"(451.0, 649.0)","(489.875, 592.125)","(542.25, 785.75)",768.9054545454545
"(726.5, 933.5)","(673.0, 943.0)","(901.5, 1540.5)",715.3557312252965
"(600.0, 600.0)","(719.0, 842.0)","(211.375, 1240.625)",615.6902356902357
"(2570.0, 2923.0)","(2432.5, 2802.5)","(2495.75, 2823.25)",2601.2432432432433
"(2100.5, 4899.5)","(1193.375, 3247.625)","(230.5, 1543.5)",3359.181818181818
"(4998.0, 5998.0)","(4898.0, 6049.0)","(2954.125, 4700.875)",5088.7899543379
"(19.0, 21.0)","(16.5, 23.5)","(13.0, 27.0)",18.482954545454547
"(64.0, 76.0)","(59.5, 106.5)","(33.625, 150.375)",68.10344827586206
"(123.5, 178.5)","(120.0, 176.0)","(128.875, 173.125)",165.4417808219178
"(2066.875, 2533.125)","(2245.5, 2446.5)","(2417.125, 3088.875)",2496.3547008547007
"(10000.0, 10000.0)","(5766.0, 5782.0)","(5364.5, 5407.5)",10000.0
"(4363001.5, 4456998.5)","(4354112.625, 4465887.375)","(3512491.875, 4209101.125)",4397679.131034483
"(5400562.5, 5595435.5)","(5373769.875, 5514230.125)","(4315935.5, 5546428.5)",5521324.268965517
"(3282494.0, 3487506.0)","(3331089.0, 3491089.0)","(2685992.0, 3226918.0)",3506463.9677419355
"(84.0, 112.0)","(88.5, 117.5)","(100.5, 119.5)",86.35849056603773
"(20.5, 27.5)","(20.125, 27.875)","(20.0, 26.0)",21.987261146496817
"(40.5, 53.5)","(42.25, 59.75)","(57.375, 98.625)",43.955882352941174
"(62.5, 67.5)","(50.0, 62.0)","(44.875, 65.125)",67.16589861751152
"(91.5, 98.5)","(70.875, 83.125)","(73.375, 123.625)",95.25700934579439
"(16.5, 19.5)","(16.5, 19.5)","(11.5, 14.5)",17.251461988304094
"(61.25, 122.75)","(87.0, 91.0)","(79.875, 108.125)",112.27312775330397
"(5502.5, 6897.5)","(5751.25, 6828.75)","(5448.875, 6428.125)",6077.7095238095235
"(353.0, 371.0)","(323.75, 346.25)","(278.375, 340.625)",363.0365296803653
"(419.0, 443.0)","(399.875, 422.125)","(345.375, 418.625)",439.98867924528304
"(61283.375, 66616.625)","(61623.5, 64446.5)","(48306.25, 68989.75)",64339.7752293578
"(42088.5, 50511.5)","(36156.25, 44703.75)","(40544.25, 43515.75)",48432.0
"(142.0, 148.0)","(145.0, 153.0)","(115.875, 146.125)",142.48387096774192
"(342.0, 3022.0)","(1163.125, 3772.875)","(472.5, 2405.5)",3092.316062176166
"(187.5, 201.5)","(175.0, 191.0)","(160.375, 208.625)",195.08955223880596
"(780.5, 791.5)","(765.5, 786.5)","(636.875, 885.125)",783.7103174603175
"(123887.5, 141846.5)","(138362.25, 171637.75)","(95059.0, 151241.0)",129683.2643678161
"(22223.0, 32215.0)","(23847.125, 34558.875)","(21435.625, 33238.375)",29713.109090909093
"(2346.5, 2849.5)","(1626.0, 2554.0)","(1619.0, 2939.0)",2294.7741935483873
"(905.875, 919.125)","(865.5, 888.5)","(808.25, 1082.75)",916.0214285714286
"(883.5, 940.5)","(879.875, 932.125)","(862.875, 960.125)",914.6677852348994
"(1458.5, 1537.5)","(1615.75, 1708.25)","(1139.25, 1554.75)",1518.9245283018868
"(1684.5, 1707.5)","(1707.5, 1828.5)","(1365.875, 1765.125)",1694.5363321799307
"(877.0, 885.0)","(865.0, 913.0)","(836.0, 968.0)",890.074074074074
"(1024.5, 1035.5)","(1005.875, 1060.125)","(1105.875, 1262.125)",1026.6507177033493
"(9.5, 10.5)","(9.5, 10.5)","(5.5, 9.5)",9.412017167381974
"(12.5, 13.5)","(13.0, 15.0)","(10.0, 14.0)",13.481012658227849
"(126.5, 129.5)","(142.0, 162.0)","(124.875, 193.125)",124.16783216783217
"(161305.5, 161396.5)","(161217.625, 161620.375)","(161291.0, 161660.0)",161577.69527896994
"(14429.0, 17911.0)","(14269.5, 18710.5)","(14804.375, 17976.625)",16800.754901960783
"(71299.5, 73120.5)","(72181.5, 72940.5)","(72258.75, 72841.25)",72366.1004784689
"(47652.5, 48557.5)","(48079.25, 48524.75)","(48032.125, 48432.875)",48053.61261261261
"(4821.5, 9233.5)","(6173.5, 7024.5)","(5588.375, 7390.625)",8191.986111111111
"(5949.0, 6171.0)","(5902.0, 6078.0)","(5825.25, 6063.75)",5949.717592592592
"(71807.5, 71832.5)","(72069.0, 73076.0)","(72861.75, 74200.25)",71936.15897435897
"(47393.5, 48142.5)","(47988.5, 48585.5)","(48457.5, 49392.5)",48013.192307692305
"(8303.875, 9118.125)","(8478.0, 9418.0)","(8598.5, 10299.5)",8860.883720930233
"(1851.0, 4585.0)","(2209.375, 4504.625)","(3095.0, 3966.0)",4175.654205607477
"(949.5, 1090.5)","(1018.0, 1241.0)","(1027.0, 1574.0)",1115.992
"(7778.375, 9035.625)","(7469.75, 8059.25)","(7223.75, 8424.25)",8222.408396946565
"(2730195.0, 2744805.0)","(2746504.625, 2787931.375)","(2076355.25, 2619460.75)",2739101.4671280277
"(135533.0, 143131.0)","(126489.625, 137413.375)","(87646.75, 121295.25)",139519.64912280702
"(5476.5, 6523.5)","(5357.75, 6079.25)","(5472.375, 5943.625)",5954.021929824561
"(24.5, 25.5)","(16.0, 40.0)","(23.5, 30.5)",26.430604982206404
"(29.0, 29.0)","(29.0, 29.0)","(30.0, 36.0)",32.28451882845188
"(335231.5, 341256.5)","(324379.25, 334903.75)","(324812.25, 346941.75)",339162.3660130719
"(-12.5, 412.5)","(-56.375, 208.375)","(19.5, 226.5)",370.8503401360544
"(-262.0, 662.0)","(52.375, 99.625)","(38.0, 266.0)",1397.7102803738317
"(170.0, 214.0)","(181.5, 240.5)","(195.375, 448.625)",197.7898832684825
"(78.5, 87.5)","(81.5, 86.5)","(80.5, 89.5)",84.61467889908256
"(873.0, 1153.0)","(908.125, 1141.875)","(-6.75, 2778.75)",944.047619047619
"(466.5, 589.5)","(452.75, 636.25)","(-474.75, 1882.75)",496.8958333333333
"(2368.5, 2783.5)","(1787.5, 3682.5)","(1911.25, 3906.75)",2687.99173553719
"(3275.0, 4457.0)","(3136.0, 5174.0)","(2623.0, 5450.0)",4218.490476190476
"(746.0, 2337.0)","(952.75, 1747.25)","(1244.75, 1797.25)",1786.8260869565217
"(3248.0, 4112.0)","(3266.0, 4613.0)","(2734.75, 4793.25)",3826.9094827586205
"(-123.5, 639.5)","(-129.125, 645.125)","(-157.25, 659.25)",658.6883720930233
"(114.5, 135.5)","(122.0, 126.0)","(103.0, 123.0)",133.51351351351352
"(70.0, 70.0)","(70.5, 91.5)","(64.5, 89.5)",69.88167938931298
"(63.0, 69.0)","(58.5, 73.5)","(75.0, 85.0)",68.33009708737865
"(252.5, 255.5)","(230.0, 252.0)","(229.75, 260.25)",520.2727272727273
"(60.5, 61.5)","(61.5, 62.5)","(53.875, 64.125)",61.50511945392491
"(94.625, 235.375)","(112.75, 351.25)","(140.125, 347.875)",175.78740157480314
"(49.625, 50.375)","(43.5, 50.5)","(45.0, 49.0)",50.018691588785046
"(1484.0, 1854.0)","(1414.125, 1922.875)","(1082.125, 2683.875)",1949.2608695652175
"(267.5, 274.5)","(277.0, 285.0)","(268.0, 284.0)",273.4423791821561
"(-0.5, 998.5)","(482.5, 515.5)","(271.5, 773.5)",932.6701030927835
"(110.5, 113.5)","(105.5, 110.5)","(104.375, 113.625)",114.0
"(1046.5, 1065.5)","(1068.5, 1095.5)","(1049.625, 1168.375)",1064.794964028777
"(11026.5, 11077.5)","(11097.0, 11197.0)","(11049.75, 11156.25)",11078.434944237919
"(7.0, 7.0)","(4.0, 10.0)","(8.5, 11.5)",7.268518518518518
"(161.0, 161.0)","(160.0, 162.0)","(158.0, 168.0)",161.01666666666668
"(1147.625, 1246.375)","(1196.0, 1347.0)","(982.5, 1370.5)",1148.156462585034
"(161316.5, 161337.5)","(161183.5, 161457.5)","(161170.0, 161426.0)",161665.6408839779
"(59629.75, 60334.25)","(60086.25, 60582.75)","(60248.25, 60544.75)",60168.83038869258
"(693.5, 1016.5)","(831.25, 1059.75)","(821.25, 1988.75)",799.7227272727273
"(332.5, 365.5)","(308.5, 401.5)","(338.0, 412.0)",348.0618556701031
"(248.0, 248.0)","(247.0, 249.0)","(200.5, 273.5)",226.685618729097
"(61043.0, 61457.0)","(60597.25, 62201.75)","(61530.125, 62294.875)",61073.456896551725
"(913.0, 1017.0)","(371.875, 1590.125)","(400.5, 1461.5)",907.2408759124088
"(191.5, 396.5)","(112.5, 529.5)","(175.0, 376.0)",366.46801346801345
"(98.0, 104.0)","(102.0, 112.0)","(93.5, 110.5)",102.13425925925925
"(5.5, 6.5)","(5.5, 6.5)","(5.5, 6.5)",5.545081967213115
"(104.5, 113.5)","(103.875, 126.125)","(96.0, 122.0)",110.8305785123967
"(149.0, 157.0)","(152.0, 162.0)","(160.375, 227.625)",156.5911111111111
"(4.5, 5.5)","(3.5, 4.5)","(3.5, 4.5)",5.320675105485232
"(73973.5, 84770.5)","(73947.25, 82231.75)","(75047.75, 83378.25)",79638.03636363636
"(117625.5, 137386.5)","(130712.125, 141525.875)","(139211.125, 150864.875)",127479.69620253165
"(2474183.125, 2507638.875)","(2333305.375, 2546243.625)","(2135357.125, 2423853.875)",2483133.753787879
"(1861672.0, 1905988.0)","(1868802.125, 1951324.875)","(1818828.125, 1906649.875)",1877183.4301886791
"(322041.5, 341418.5)","(273412.375, 310551.625)","(232241.625, 276291.375)",329578.91011235956
"(1354082.375, 1371381.625)","(1318734.0, 1375604.0)","(1022069.75, 1389704.25)",1364736.0057471264
"(1273405.375, 1316594.625)","(1130330.375, 1301662.625)","(947193.875, 1099045.125)",1297398.5164835164
"(1656617.5, 1703131.5)","(1626474.5, 1693565.5)","(1271387.5, 1542793.5)",1675728.8238636365
"(566415.875, 609254.125)","(522535.25, 575464.75)","(507124.5, 570709.5)",575779.9024390244
"(489837.625, 505656.375)","(485276.0, 513044.0)","(474401.75, 546798.25)",499956.03921568627
"(640773.5, 655226.5)","(565046.25, 616382.75)","(525770.25, 617047.75)",647310.7078651686
"(486347.0, 503485.0)","(476780.375, 502030.625)","(448941.75, 556404.25)",503310.02222222224
"(53027.5, 57823.5)","(43005.875, 55081.125)","(49482.875, 55846.125)",54344.760162601626
"(104691.0, 113780.0)","(108146.5, 115095.5)","(109212.625, 120073.375)",108828.93902439025
"(3324281.5, 3365990.5)","(3296273.75, 3345304.25)","(3302435.625, 3480309.375)",3342367.594095941
"(766975.375, 784436.625)","(749347.0, 794377.0)","(788971.5, 885184.5)",776722.5968992248
"(83.625, 90.375)","(88.5, 95.5)","(86.5, 95.5)",86.6987951807229
"(99653.5, 100344.5)","(98582.375, 103481.625)","(99447.0, 103711.0)",100135.2957746479
"(219648.5, 228441.5)","(219885.5, 235844.5)","(207567.375, 235883.625)",223748.9190751445
"(234610.625, 249761.375)","(235517.25, 242830.75)","(222021.5, 238776.5)",245611.80952380953
"(133993.25, 158037.75)","(134147.375, 146566.625)","(141964.875, 157602.125)",148782.18644067796
"(166665.5, 183224.5)","(157261.5, 178062.5)","(157457.25, 175476.75)",169860.99425287356
"(227899.5, 248098.5)","(213319.0, 244681.0)","(209768.125, 234237.875)",234523.7857142857
"(376046.5, 409953.5)","(356762.375, 370382.625)","(362520.0, 386380.0)",396662.17872340424
"(351.5, 446.5)","(297.75, 360.25)","(281.875, 364.125)",368.08780487804876
"(7.75, 29.25)","(7.125, 12.875)","(8.25, 15.75)",21.0
"(354.75, 379.25)","(322.875, 369.125)","(336.0, 388.0)",378.7142857142857
"(4.0, 6.0)","(3.5, 4.5)","(3.5, 4.5)",4.382352941176471
"(8.5, 11.5)","(8.0, 10.0)","(7.5, 8.5)",9.43673469387755
"(45.0, 51.0)","(44.5, 49.5)","(42.5, 47.5)",46.611111111111114
"(32452.5, 35245.5)","(32121.5, 34203.5)","(29924.625, 34116.375)",34638.43396226415
"(950.5, 1129.5)","(888.375, 1111.625)","(698.875, 913.125)",1044.6877637130801
"(66635.125, 71563.875)","(69777.25, 74696.75)","(70802.25, 79741.75)",69670.64285714286
"(1282868.0, 1297132.0)","(1237800.25, 1310741.75)","(949002.5, 1307865.5)",1280708.6666666667
"(1220223.5, 1228786.5)","(1052866.125, 1251289.875)","(867848.5, 1017910.5)",1228402.2857142857
"(1596914.75, 1612535.25)","(1581684.0, 1618316.0)","(1187165.5, 1490866.5)",1613106.8666666667
"(0.0, 2.0)","(-1.0, 3.0)","(3.125, 13.875)",2.517094017094017
"(-2092.5, 9692.5)","(-2089.5, 9689.5)","(2062.625, 4930.375)",9582.961832061068
"(5103.75, 5250.25)","(4907.25, 4988.75)","(3640.875, 4645.125)",5170.304054054054
"(3.0, 3.0)","(2.0, 8.0)","(1.0, 5.0)",3.7509727626459144
"(9.0, 33.0)","(-0.5, 14.5)","(11.5, 18.5)",17.560439560439562
"(9.625, 36.375)","(21.0, 38.0)","(18.0, 38.0)",31.848314606741575
"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)",1.0
"(67.5, 70.5)","(66.5, 71.5)","(76.375, 99.625)",68.35335689045937
"(52.5, 63.5)","(51.0, 65.0)","(53.375, 70.625)",53.414201183431956
"(5.0, 5.0)","(4.5, 5.5)","(3.5, 10.5)",5.369791666666667
"(4.5, 5.5)","(6.0, 8.0)","(3.5, 10.5)",5.473333333333334
"(5.5, 6.5)","(6.0, 6.0)","(4.0, 8.0)",6.785714285714286
"(6.0, 8.0)","(5.5, 8.5)","(6.125, 9.875)",7.315315315315315
