,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,181821.0,3,1646680800,10
10002,,0,2301.0,5,1646680800,10002
10004,,0,1710.0,1,1646680800,10004
10006,9.0,1,8.0,1,1646680800,10006
10008,54.0,20,,0,1646680800,10008
10010,15.0,2,11.0,1,1646680800,10010
10012,499.0,1,112.0,1,1646680800,10012
10029,6.0,4,,0,1646680800,10029
10033,842.0,670,,0,1646680800,10033
10034,840.0,6601,835.0,12397,1646680800,10034
1005,150.0,1,,0,1646680800,1005
10069,1400.0,2,,0,1646680800,10069
101,859.0,1000,,0,1646680800,101
1011,64.0,1,,0,1646680800,1011
1013,87.0,3,,0,1646680800,1013
10136,,0,90.0,10,1646680800,10136
10146,21.0,4,,0,1646680800,10146
10159,,0,877.0,711,1646680800,10159
1019,650.0,1,592.0,1,1646680800,1019
1021,,0,172.0,1,1646680800,1021
10298,,0,9279.0,1,1646680800,10298
103,,0,2693.0,567,1646680800,103
10300,,0,3016.0,1,1646680800,10300
1031,1103.0,1,,0,1646680800,1031
10314,6691.0,1,,0,1646680800,10314
10322,69355.0,1,,0,1646680800,10322
1033,,0,4010.0,1,1646680800,1033
10362,,0,58177.0,1,1646680800,10362
10368,,0,144557.0,1,1646680800,10368
10370,694385.0,1,671025.0,2,1646680800,10370
10372,857827.0,4,816418.0,1,1646680800,10372
10376,,0,17178.0,3,1646680800,10376
10378,,0,270324.0,2,1646680800,10378
1038,2325.0,3,,0,1646680800,1038
10380,580368.0,1,567425.0,1,1646680800,10380
10382,,0,85005.0,2,1646680800,10382
10384,,0,74240.0,4,1646680800,10384
10388,795224.0,1,774085.0,2,1646680800,10388
1040,2269.0,6,,0,1646680800,1040
10402,,0,676.0,1,1646680800,10402
10404,,0,19000.0,1,1646680800,10404
10420,,0,4164.0,1,1646680800,10420
10424,,0,3141.0,1,1646680800,10424
1044,,0,2184.0,1,1646680800,1044
10440,5647.0,1,,0,1646680800,10440
10446,27299.0,1,,0,1646680800,10446
10452,,0,34785.0,6,1646680800,10452
10454,,0,30000.0,1,1646680800,10454
10476,,0,6605.0,1083,1646680800,10476
105,1698.0,2106,,0,1646680800,105
1059,20.0,3,19.0,91,1646680800,1059
1061,35.0,2,27.0,236,1646680800,1061
1063,5.0,62,,0,1646680800,1063
1065,1447.0,1,,0,1646680800,1065
1067,,0,95.0,1,1646680800,1067
1069,,0,400.0,2,1646680800,1069
107,1970.0,357,1907.0,51,1646680800,107
1071,,0,1332.0,2,1646680800,1071
1073,3481.0,7,3481.0,14,1646680800,1073
1079,37925.0,42,37763.0,362,1646680800,1079
10812,897.0,8,,0,1646680800,10812
10822,1999.0,1,,0,1646680800,10822
10824,450.0,1,,0,1646680800,10824
10826,1912.0,3,,0,1646680800,10826
10828,52444.0,5,51550.0,2,1646680800,10828
1083,,0,300.0,2,1646680800,1083
10891,2754.0,20,,0,1646680800,10891
1091,,0,3492.0,3,1646680800,1091
10925,27354.0,72,,0,1646680800,10925
1093,,0,37875.0,18,1646680800,1093
1095,10.0,1,6.0,2,1646680800,1095
1097,989.0,2,,0,1646680800,1097
1099,1975.0,2,1885.0,3,1646680800,1099
1101,92.0,1,,0,1646680800,1101
11065,426.0,2,,0,1646680800,11065
11072,608.0,11,,0,1646680800,11072
11079,965.0,3,,0,1646680800,11079
11085,,0,1241.0,12,1646680800,11085
11088,1329.0,2,,0,1646680800,11088
1109,,0,850.0,1,1646680800,1109
