,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10006,9.0,6,8.0,1,1646691900,10006
10008,54.0,9,,0,1646691900,10008
10010,15.0,2,11.0,1,1646691900,10010
10012,499.0,38,140.0,2,1646691900,10012
10020,,0,97.0,24,1646691900,10020
10029,6.0,1,,0,1646691900,10029
10034,837.0,1600,830.0,15,1646691900,10034
10069,1400.0,1,,0,1646691900,10069
10075,,0,5151.0,80,1646691900,10075
101,882.0,127,,0,1646691900,101
1011,,0,35.0,2,1646691900,1011
1013,300.0,1,,0,1646691900,1013
10143,2.0,5000,,0,1646691900,10143
10145,4.0,25995,,0,1646691900,10145
10146,31.0,1,,0,1646691900,10146
10158,,0,94.0,1992,1646691900,10158
10159,,0,842.0,232,1646691900,10159
1017,,0,1000.0,100,1646691900,1017
1019,650.0,2,564.0,6,1646691900,1019
1021,,0,172.0,1,1646691900,1021
1023,201.0,1,,0,1646691900,1023
10282,,0,2863.0,1,1646691900,10282
10284,6500.0,1,,0,1646691900,10284
10286,40700.0,1,,0,1646691900,10286
103,,0,2526.0,2991,1646691900,103
10326,,0,90.0,4,1646691900,10326
10327,,0,40.0,10,1646691900,10327
1033,6031.0,14,4344.0,3,1646691900,1033
10342,11719888.0,1,,0,1646691900,10342
1035,2700.0,3,2390.0,1,1646691900,1035
10350,,0,19310000.0,1,1646691900,10350
10352,,0,30600000.0,1,1646691900,10352
10364,,0,14000.0,1,1646691900,10364
10368,,0,148586.0,1,1646691900,10368
10370,,0,666314.0,6,1646691900,10370
10372,836456.0,2,812318.0,3,1646691900,10372
10374,,0,84300.0,1,1646691900,10374
10376,27500.0,1,,0,1646691900,10376
10378,285000.0,4,,0,1646691900,10378
10382,,0,68000.0,1,1646691900,10382
10384,96800.0,1,,0,1646691900,10384
10386,455222.0,1,,0,1646691900,10386
10388,802500.0,2,789464.0,2,1646691900,10388
10390,99230.0,1,,0,1646691900,10390
10394,4600000.0,2,,0,1646691900,10394
10408,20092.0,2,,0,1646691900,10408
10410,30000.0,1,,0,1646691900,10410
10416,,0,4078.0,1,1646691900,10416
10452,,0,22510.0,1,1646691900,10452
10460,,0,245001.0,1,1646691900,10460
10462,150000.0,1,,0,1646691900,10462
10466,91843.0,2,,0,1646691900,10466
10468,,0,149086.0,1,1646691900,10468
10474,,0,2501.0,1,1646691900,10474
10476,,0,6600.0,123,1646691900,10476
105,1717.0,851,,0,1646691900,105
1050,,0,5500.0,1,1646691900,1050
1059,69.0,13,20.0,23,1646691900,1059
1061,100.0,13,75.0,22,1646691900,1061
1063,12.0,1,,0,1646691900,1063
1065,1276.0,8,1388.0,4,1646691900,1065
1067,93.0,128,,0,1646691900,1067
1069,388.0,4,374.0,20,1646691900,1069
107,1947.0,1,,0,1646691900,107
1073,3484.0,6,3481.0,9,1646691900,1073
1075,363.0,1,,0,1646691900,1075
1077,1543.0,3,1396.0,6,1646691900,1077
1079,37777.0,105,37671.0,158,1646691900,1079
10812,897.0,10,,0,1646691900,10812
10828,52638.0,27,51148.0,5,1646691900,10828
1089,,0,814.0,1,1646691900,1089
10925,27370.0,18,26968.0,111,1646691900,10925
