,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,193742.0,2,,0,1646705100,10
10006,9.0,4,,0,1646705100,10006
10008,54.0,20,,0,1646705100,10008
10010,11.0,1,,0,1646705100,10010
10034,,0,824.0,2783,1646705100,10034
1005,,0,139.0,1,1646705100,1005
1007,204.0,1,,0,1646705100,1007
10089,83.0,6,,0,1646705100,10089
10090,,0,97.0,28,1646705100,10090
10095,,0,500.0,3,1646705100,10095
101,,0,844.0,28,1646705100,101
1011,56.0,3,,0,1646705100,1011
10127,1131.0,12,,0,1646705100,10127
10129,,0,1050.0,4,1646705100,10129
1013,109.0,2,,0,1646705100,1013
10136,,0,90.0,5,1646705100,10136
10149,,0,275.0,10,1646705100,10149
1017,1000.0,1,,0,1646705100,1017
10294,22844.0,1,,0,1646705100,10294
10312,,0,6647.0,1,1646705100,10312
10316,26318.0,1,,0,1646705100,10316
10322,,0,52209.0,1,1646705100,10322
1033,,0,4487.0,2,1646705100,1033
1035,1356.0,2,1289.0,1,1646705100,1035
10352,,0,30800121.0,2,1646705100,10352
10370,658807.0,1,655003.0,1,1646705100,10370
10376,17178.0,1,,0,1646705100,10376
1038,,0,3240.0,2,1646705100,1038
10380,,0,570168.0,1,1646705100,10380
10382,80533.0,1,,0,1646705100,10382
10386,433877.0,1,415181.0,1,1646705100,10386
10388,,0,825931.0,1,1646705100,10388
10390,,0,83003.0,1,1646705100,10390
10394,4650000.0,2,4626492.0,1,1646705100,10394
1040,,0,2500.0,1,1646705100,1040
10400,,0,5200.0,2,1646705100,10400
10412,,0,20797.0,1,1646705100,10412
10418,,0,1187.0,1,1646705100,10418
1044,,0,2316.0,2,1646705100,1044
10448,,0,10511.0,1,1646705100,10448
10458,360921.0,1,,0,1646705100,10458
10460,,0,245000.0,1,1646705100,10460
10464,115308.0,1,,0,1646705100,10464
10466,91696.0,1,,0,1646705100,10466
10476,6661.0,910,6602.0,39,1646705100,10476
10496,9999.0,1,,0,1646705100,10496
105,1718.0,1000,,0,1646705100,105
1050,,0,5600.0,1,1646705100,1050
1055,,0,5034.0,1,1646705100,1055
1057,,0,3200.0,1,1646705100,1057
1059,151.0,1,21.0,1,1646705100,1059
1061,100.0,1,40.0,1,1646705100,1061
1063,13.0,2,6.0,55,1646705100,1063
1065,1194.0,132,,0,1646705100,1065
1067,148.0,2,,0,1646705100,1067
1069,397.0,4,,0,1646705100,1069
107,,0,1908.0,573,1646705100,107
1071,,0,1338.0,2,1646705100,1071
1073,3600.0,1,3489.0,42,1646705100,1073
1077,,0,50000.0,2,1646705100,1077
1079,,0,37001.0,286,1646705100,1079
10812,897.0,16,,0,1646705100,10812
10822,1610.0,4,,0,1646705100,10822
10824,450.0,3,,0,1646705100,10824
10826,2148.0,2,,0,1646705100,10826
10828,52590.0,3,51446.0,9,1646705100,10828
1083,,0,388.0,1,1646705100,1083
1085,1400.0,1,,0,1646705100,1085
10891,2610.0,10,,0,1646705100,10891
109,1161.0,2,,0,1646705100,109
10925,27381.0,128,26859.0,16,1646705100,10925
1093,37955.0,1,37911.0,7,1646705100,1093
1095,10.0,2,,0,1646705100,1095
1097,766.0,4,,0,1646705100,1097
10981,910.0,2,,0,1646705100,10981
1099,2222.0,4,2078.0,3,1646705100,1099
1101,,0,190.0,1,1646705100,1101
1105,,0,265.0,29,1646705100,1105
11079,965.0,10,952.0,6,1646705100,11079
11088,1325.0,6,,0,1646705100,11088
1109,,0,1048.0,8,1646705100,1109
11090,,0,2222.0,700,1646705100,11090
11092,2095.0,250,2080.0,461,1646705100,11092
11095,,0,2376.0,12,1646705100,11095
11105,12391.0,19,12035.0,8,1646705100,11105
1111,,0,3520.0,2,1646705100,1111
11113,,0,12354.0,100,1646705100,11113
11115,12049.0,1301,11850.0,1,1646705100,11115
11118,12370.0,1,,0,1646705100,11118
11126,12448.0,16,12273.0,26,1646705100,11126
11128,,0,1930228.0,1,1646705100,11128
1113,29446.0,5,29459.0,82,1646705100,1113
11133,1975943.0,1,1963973.0,1,1646705100,11133
1115,39.0,176,,0,1646705100,1115
1119,,0,811.0,5,1646705100,1119
11200,59403.0,1,50806.0,2,1646705100,11200
1121,2774.0,128,2734.0,3,1646705100,1121
11212,1297.0,1100,1282.0,17210,1646705100,11212
