,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,193337.0,1,,0,1646690100,10
10006,9.0,10,8.0,16,1646690100,10006
10008,54.0,14,,0,1646690100,10008
10010,14.0,2,11.0,1,1646690100,10010
10012,499.0,1,,0,1646690100,10012
10029,6.0,1,,0,1646690100,10029
10033,800.0,599,757.0,8,1646690100,10033
10034,,0,818.0,6823,1646690100,10034
10049,,0,679.0,1,1646690100,10049
1005,,0,102.0,1,1646690100,1005
10069,1400.0,1,1250.0,1,1646690100,10069
10071,7900.0,1,,0,1646690100,10071
10075,,0,10008.0,1,1646690100,10075
10083,1693.0,1,1693.0,28,1646690100,10083
10087,,0,5.0,563,1646690100,10087
101,855.0,21,,0,1646690100,101
1011,64.0,100,,0,1646690100,1011
10113,,0,1769.0,26,1646690100,10113
10115,,0,863.0,2,1646690100,10115
10127,1245.0,1,1086.0,1,1646690100,10127
1013,169.0,1,,0,1646690100,1013
10144,2.0,800,,0,1646690100,10144
10145,6.0,1,,0,1646690100,10145
10147,,0,21.0,17,1646690100,10147
10148,,0,550.0,3,1646690100,10148
1017,800.0,1,476.0,4,1646690100,1017
1019,442.0,2,,0,1646690100,1019
1025,,0,104.0,1,1646690100,1025
10284,,0,5000.0,1,1646690100,10284
10286,,0,37500.0,1,1646690100,10286
10290,22664.0,2,22107.0,1,1646690100,10290
10294,,0,22500.0,1,1646690100,10294
103,2683.0,2018,,0,1646690100,103
10316,21214.0,2,,0,1646690100,10316
10326,,0,90.0,77,1646690100,10326
10327,,0,40.0,28,1646690100,10327
1033,,0,4775.0,3,1646690100,1033
1035,2700.0,2,,0,1646690100,1035
10354,,0,56856.0,1,1646690100,10354
10368,148586.0,1,148586.0,1,1646690100,10368
10370,687900.0,2,665004.0,1,1646690100,10370
10372,844366.0,1,,0,1646690100,10372
10374,109711.0,1,,0,1646690100,10374
10376,27500.0,1,16321.0,1,1646690100,10376
10378,293000.0,2,270324.0,8,1646690100,10378
1038,1394.0,5,,0,1646690100,1038
10380,,0,565593.0,6,1646690100,10380
10382,,0,68000.0,1,1646690100,10382
10384,96800.0,1,,0,1646690100,10384
10388,768723.0,1,750000.0,1,1646690100,10388
10392,,0,20000.0,1,1646690100,10392
10416,,0,5001.0,1,1646690100,10416
1044,1125.0,1,,0,1646690100,1044
10448,9059.0,1,,0,1646690100,10448
10454,33308.0,1,,0,1646690100,10454
10456,29552.0,1,,0,1646690100,10456
10460,,0,245000.0,1,1646690100,10460
10466,96000.0,1,,0,1646690100,10466
10468,,0,300000.0,1,1646690100,10468
10472,9000.0,1,,0,1646690100,10472
10476,,0,6709.0,138,1646690100,10476
10496,2000.0,2,1500.0,1,1646690100,10496
1057,,0,5455.0,1,1646690100,1057
10589,74000.0,1,,0,1646690100,10589
1059,20.0,24,39.0,26,1646690100,1059
1063,12.0,1,6.0,43,1646690100,1063
1065,1256.0,2,1120.0,3,1646690100,1065
1069,397.0,1,375.0,3,1646690100,1069
107,1949.0,1,,0,1646690100,107
1071,1360.0,3,,0,1646690100,1071
