,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,184902.0,2,175659.0,2,1646701800,10
10008,54.0,500,45.0,1,1646701800,10008
10025,899.0,10,,0,1646701800,10025
10029,6.0,1,3.0,1,1646701800,10029
10033,842.0,445,884.0,2,1646701800,10033
10034,835.0,3492,835.0,507,1646701800,10034
10041,,0,1000.0,1,1646701800,10041
1007,,0,200.0,1,1646701800,1007
10083,,0,1693.0,3,1646701800,10083
1009,,0,169.0,1,1646701800,1009
101,,0,842.0,12,1646701800,101
1011,,0,35.0,1,1646701800,1011
10142,2.0,7000,,0,1646701800,10142
10143,1.0,1000,,0,1646701800,10143
10147,,0,22.0,27,1646701800,10147
10148,601.0,1,,0,1646701800,10148
1015,49.0,1,,0,1646701800,1015
1019,650.0,1,,0,1646701800,1019
1021,,0,172.0,1,1646701800,1021
10284,4960.0,1,,0,1646701800,10284
10294,22844.0,2,,0,1646701800,10294
103,2543.0,200,,0,1646701800,103
1033,3637.0,3,4440.0,2,1646701800,1033
1035,,0,1701.0,1,1646701800,1035
10364,14918.0,11,14005.0,1,1646701800,10364
10368,133385.0,1,,0,1646701800,10368
10370,685375.0,1,669643.0,1,1646701800,10370
10372,854836.0,2,828433.0,2,1646701800,10372
10374,85963.0,1,81666.0,2,1646701800,10374
10378,,0,272790.0,4,1646701800,10378
1038,4500.0,4,,0,1646701800,1038
10380,,0,583389.0,3,1646701800,10380
10382,76507.0,2,,0,1646701800,10382
10386,,0,415181.0,1,1646701800,10386
10388,800570.0,2,,0,1646701800,10388
10408,,0,12500.0,1,1646701800,10408
10410,,0,20.0,1,1646701800,10410
10446,27299.0,2,,0,1646701800,10446
10448,,0,10511.0,3,1646701800,10448
10456,17698.0,1,,0,1646701800,10456
10466,,0,80000.0,1,1646701800,10466
10470,8432.0,2,,0,1646701800,10470
10476,6686.0,100,6606.0,120,1646701800,10476
105,1716.0,300,1673.0,8,1646701800,105
1050,5917.0,5,5603.0,1,1646701800,1050
1053,,0,18000.0,2,1646701800,1053
1055,,0,5002.0,2,1646701800,1055
10564,51038.0,2,,0,1646701800,10564
1057,,0,3353.0,2,1646701800,1057
10589,74000.0,1,,0,1646701800,10589
1059,87.0,1,25.0,2,1646701800,1059
1061,,0,35.0,3,1646701800,1061
1065,1447.0,2,1388.0,3,1646701800,1065
1067,95.0,1,,0,1646701800,1067
1069,627.0,1,399.0,1,1646701800,1069
1071,1360.0,2,1332.0,4,1646701800,1071
1073,,0,3481.0,36,1646701800,1073
1075,345.0,1,,0,1646701800,1075
1077,1768.0,4,1600.0,8,1646701800,1077
1079,37802.0,5,37868.0,248,1646701800,1079
1081,28.0,99,,0,1646701800,1081
10826,2148.0,2,,0,1646701800,10826
10828,52480.0,6,51278.0,10,1646701800,10828
1085,1400.0,1,,0,1646701800,1085
1091,,0,3666.0,2,1646701800,1091
10925,,0,26759.0,80,1646701800,10925
1093,37955.0,39,37880.0,37,1646701800,1093
1095,,0,10.0,125,1646701800,1095
1097,987.0,1,582.0,3,1646701800,1097
10981,1007.0,2,,0,1646701800,10981
1099,2222.0,16,2105.0,2,1646701800,1099
1101,190.0,1,173.0,2,1646701800,1101
11037,118000.0,2,107460.0,2,1646701800,11037
1107,1623.0,1,,0,1646701800,1107
11085,,0,1218.0,100,1646701800,11085
11090,,0,2222.0,3,1646701800,11090
11092,2048.0,92,2047.0,107,1646701800,11092
11113,,0,12353.0,10,1646701800,11113
11115,11782.0,1128,11782.0,421,1646701800,11115
11118,12300.0,1,,0,1646701800,11118
11126,12350.0,4,12221.0,117,1646701800,11126
11128,,0,1917344.0,2,1646701800,11128
1113,29562.0,3,29598.0,96,1646701800,1113
11133,1952296.0,4,1911983.0,1,1646701800,11133
1115,,0,41.0,1,1646701800,1115
1119,837.0,128,795.0,1,1646701800,1119
11200,59999.0,1,,0,1646701800,11200
1121,2775.0,4,2739.0,596,1646701800,1121
11212,1298.0,211,1284.0,1771,1646701800,11212
11229,,0,2253.0,25,1646701800,11229
1123,9550.0,348,9540.0,865,1646701800,1123
11230,1934.0,1818,1934.0,300,1646701800,11230
11232,,0,2212.0,1096,1646701800,11232
11235,729998.0,1,694883.0,4,1646701800,11235
11237,,0,1204.0,912,1646701800,11237
11238,,0,1957.0,22,1646701800,11238
11240,,0,2509.0,31,1646701800,11240
11242,,0,3227.0,119,1646701800,11242
11244,1799.0,3,1799.0,24,1646701800,11244
11246,,0,2271.0,17,1646701800,11246
11248,4364.0,50,4277.0,2017,1646701800,11248
1125,3078.0,1,,0,1646701800,1125
11250,,0,4776.0,286,1646701800,11250
11252,,0,22000.0,56,1646701800,11252
11254,,0,39100.0,10,1646701800,11254
11256,345000.0,3,339500.0,1,1646701800,11256
11260,790.0,1384,760.0,2881,1646701800,11260
1127,39892.0,75,38390.0,139,1646701800,1127
11284,3692066.0,3,3652697.0,5,1646701800,11284
1129,21.0,1,,0,1646701800,1129
1131,,0,10.0,365,1646701800,1131
11326,290.0,1,290.0,1,1646701800,11326
11328,,0,17.0,1,1646701800,11328
1133,450.0,1,432.0,2,1646701800,1133
11330,,0,17.0,2,1646701800,11330
11332,,0,180.0,1,1646701800,11332
1135,4300.0,59,4239.0,1,1646701800,1135
1137,20.0,2,,0,1646701800,1137
11377,,0,11940.0,5,1646701800,11377
1139,600.0,1,525.0,4,1646701800,1139
1141,130.0,1,,0,1646701800,1141
1143,1854.0,1,329.0,1,1646701800,1143
1145,890.0,10,,0,1646701800,1145
1147,11041.0,8,11044.0,39,1646701800,1147
1149,,0,58698.0,25,1646701800,1149
1153,,0,60.0,146,1646701800,1153
1155,,0,117.0,13,1646701800,1155
1157,140.0,1,132.0,1,1646701800,1157
1159,799.0,2,,0,1646701800,1159
1161,,0,1788.0,3,1646701800,1161
1163,20649.0,95,20514.0,199,1646701800,1163
1165,666.0,2,475.0,6,1646701800,1165
1169,36.0,1,35.0,4,1646701800,1169
11785,34991918.0,3,34599843.0,2,1646701800,11785
11787,89750.0,3,,0,1646701800,11787
11802,12486382.0,10,12289931.0,5,1646701800,11802
11804,14054032.0,2,13849524.0,4,1646701800,11804
11806,26341943.0,1,26000000.0,4,1646701800,11806
11808,,0,4409495.0,1,1646701800,11808
1181,,0,795.0,1,1646701800,1181
11812,,0,13160776.0,2,1646701800,11812
11820,152412.0,2,152000.0,2,1646701800,11820
11824,12590632.0,5,12426000.0,1,1646701800,11824
11826,,0,9149617.0,1,1646701800,11826
11828,39987000.0,1,39426852.0,3,1646701800,11828
11830,36002272.0,5,35671844.0,4,1646701800,11830
11832,,0,25201000.0,4,1646701800,11832
11834,21794506.0,3,21630111.0,5,1646701800,11834
11838,,0,304710.0,1,1646701800,11838
11840,170498.0,45,166986.0,10,1646701800,11840
