avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10.0,11,,0,1647193800,10006
67.0,140,,0,1647193800,10008
973.0,4000,962.0,4750,1647193800,10034
11000.0,2,,0,1647193800,10055
1300.0,1,,0,1647193800,10069
,0,1645.0,4,1647193800,10083
,0,89.0,5,1647193800,10089
879.0,650,879.0,831,1647193800,101
101.0,2,,0,1647193800,1013
,0,51.0,13,1647193800,10146
388.0,26,,0,1647193800,10148
,0,369.0,62,1647193800,10149
227.0,1,,0,1647193800,1021
,0,5000.0,2,1647193800,10284
49500.0,1,,0,1647193800,10286
,0,724.0,1,1647193800,1029
,0,21769.0,1,1647193800,10292
21588.0,2,,0,1647193800,10294
,0,2606.0,47,1647193800,103
,0,3501.0,1,1647193800,10304
,0,3899.0,1,1647193800,10308
,0,5555.0,1,1647193800,10310
,0,74.0,21,1647193800,10327
,0,4600.0,1,1647193800,1033
,0,64333333.0,1,1647193800,10346
,0,90000000.0,2,1647193800,10348
1475.0,2,1405.0,1,1647193800,1035
,0,54149.0,2,1647193800,10354
,0,17000.0,1,1647193800,10364
,0,36757.0,1,1647193800,10366
,0,761700.0,2,1647193800,10372
78830.0,2,,0,1647193800,10374
,0,252131.0,3,1647193800,10378
,0,550029.0,1,1647193800,10380
471539.0,1,443614.0,4,1647193800,10386
720886.0,2,,0,1647193800,10388
4388500.0,1,,0,1647193800,10394
,0,5001.0,1,1647193800,10416
,0,4500.0,1,1647193800,10420
,0,968.0,1,1647193800,10422
,0,669.0,1,1647193800,10436
,0,10.0,1,1647193800,10438
8694.0,1,,0,1647193800,10442
16641.0,1,,0,1647193800,10450
30834.0,6,30834.0,9,1647193800,10452
23174.0,4,,0,1647193800,10454
280000.0,1,,0,1647193800,10460
116998.0,1,,0,1647193800,10462
93500.0,2,,0,1647193800,10466
127732.0,1,,0,1647193800,10468
6745.0,54,6675.0,450,1647193800,10476
2653.0,2,,0,1647193800,1048
1517.0,2,,0,1647193800,10496
1793.0,22,1699.0,8,1647193800,105
5015.0,1,,0,1647193800,1050
,0,4080.0,1,1647193800,1053
,0,28793.0,3,1647193800,10589
73.0,5,40.0,1,1647193800,1059
,0,28.0,49,1647193800,1061
20.0,2,,0,1647193800,1063
1116.0,1,500.0,5,1647193800,1065
200.0,1,150.0,47,1647193800,1067
500.0,1,373.0,1,1647193800,1069
1966.0,13,1961.0,100,1647193800,107
1359.0,1,1339.0,12,1647193800,1071
3579.0,1,3527.0,12,1647193800,1073
1468.0,3,1385.0,73,1647193800,1077
37876.0,12,37774.0,137,1647193800,1079
85.0,1,,0,1647193800,1081
994.0,4,,0,1647193800,10810
,0,100.0,1,1647193800,10824
55615.0,9,53922.0,2,1647193800,10828
,0,380.0,287,1647193800,1083
3999.0,10,,0,1647193800,10891
,0,1180.0,1,1647193800,109
3653.0,1,3653.0,1,1647193800,1091
31311.0,439,30643.0,154,1647193800,10925
37750.0,73,37450.0,23,1647193800,1093
6.0,3,,0,1647193800,1095
,0,545.0,1,1647193800,1097
129.0,2,,0,1647193800,10973
2241.0,14,2138.0,9,1647193800,1099
,0,400.0,4,1647193800,10999
190.0,6,97.0,1,1647193800,1101
,0,132564.0,5,1647193800,11037
257.0,1,,0,1647193800,1105
,0,416.0,1,1647193800,11065
573.0,17,573.0,300,1647193800,11072
,0,737.0,311,1647193800,11076
,0,841.0,8,1647193800,11079
,0,988.0,1,1647193800,1109
2256.0,400,2208.0,1,1647193800,11090
2090.0,3519,2059.0,6,1647193800,11092
2277.0,40,2265.0,2,1647193800,11095
,0,8723.0,8,1647193800,111
12650.0,1,,0,1647193800,11105
2775.0,4,,0,1647193800,1111
,0,12371.0,6,1647193800,11113
11800.0,300,11750.0,1,1647193800,11115
12751.0,6,,0,1647193800,11118
12267.0,8,12204.0,3,1647193800,11126
1942709.0,4,1894269.0,2,1647193800,11128
29531.0,1,29538.0,28,1647193800,1113
1920000.0,8,,0,1647193800,11133
100.0,4,97.0,46,1647193800,1115
875.0,434,875.0,196,1647193800,1119
,0,51110.0,1,1647193800,11200
,0,2748.0,385,1647193800,1121
1353.0,17710,1326.0,914,1647193800,11212
9557.0,343,9527.0,1215,1647193800,1123
1926.0,3400,1914.0,645,1647193800,11230
,0,2252.0,1243,1647193800,11232
720704.0,1,711709.0,2,1647193800,11235
,0,1500.0,1648,1647193800,11237
4220.0,6,,0,1647193800,11242
,0,2500.0,34,1647193800,11246
4161.0,1054,4134.0,1208,1647193800,11248
3008.0,3,2979.0,52,1647193800,1125
,0,4727.0,12,1647193800,11250
21470.0,24,,0,1647193800,11252
,0,41358.0,11,1647193800,11254
,0,345900.0,2,1647193800,11256
845.0,2258,836.0,570,1647193800,11260
38970.0,23,38391.0,165,1647193800,1127
3756627.0,2,3715738.0,2,1647193800,11284
,0,3727800.0,5,1647193800,11286
,0,20.0,58,1647193800,1129
800.0,55,597.0,109,1647193800,113
6.0,1,4.0,200,1647193800,1131
408.0,1,,0,1647193800,1133
,0,59667012.0,1,1647193800,11335
4243.0,1851,4239.0,934,1647193800,1135
45.0,1,,0,1647193800,1137
,0,11824.0,4,1647193800,11377
106.0,4,,0,1647193800,1139
,0,888.0,2,1647193800,1145
11048.0,8,11049.0,68,1647193800,1147
58615.0,2,58682.0,18,1647193800,1149
412.0,91,412.0,92,1647193800,115
150.0,1,98.0,1,1647193800,1153
127.0,46,137.0,25,1647193800,1157
,0,753.0,12,1647193800,1159
,0,1907.0,69,1647193800,1161
20478.0,1,20506.0,184,1647193800,1163
,0,540.0,68,1647193800,1165
6.0,2,,0,1647193800,1167
40.0,12,35.0,2,1647193800,1169
,0,148.0,7,1647193800,117
95.0,1,95.0,5,1647193800,1171
36650909.0,1,36000000.0,2,1647193800,11785
,0,407.0,14,1647193800,1179
,0,8185398.0,2,1647193800,11791
500000.0,1,500000.0,1,1647193800,11798
,0,13074617.0,10,1647193800,11802
14734487.0,7,14525733.0,2,1647193800,11804
25633174.0,3,25290000.0,1,1647193800,11806
,0,5230000.0,2,1647193800,11808
,0,740.0,8,1647193800,1181
,0,13301000.0,1,1647193800,11812
,0,153001.0,6,1647193800,11820
,0,156671.0,2,1647193800,11822
12900000.0,2,12697074.0,2,1647193800,11824
9599304.0,2,,0,1647193800,11826
41999999.0,2,41399404.0,2,1647193800,11828
,0,2050.0,4,1647193800,1183
,0,36151261.0,2,1647193800,11830
25485650.0,5,25338014.0,3,1647193800,11832
21443719.0,7,21213333.0,8,1647193800,11834
252651.0,1,,0,1647193800,11836
268603.0,2,266066.0,1,1647193800,11838
176346.0,34,173481.0,16,1647193800,11840
,0,22299.0,54,1647193800,1185
,0,299405.0,1,1647193800,1187
60.0,7301,60.0,84,1647193800,11875
12995840.0,2,,0,1647193800,11889
,0,702380.0,2,1647193800,11905
,0,40900.0,1,1647193800,11908
26.0,1,25.0,3,1647193800,1191
,0,4767444.0,4,1647193800,11920
2628238.0,2,2603351.0,1,1647193800,11924
3342070.0,3,2899667.0,1,1647193800,11926
349.0,1,249.0,2,1647193800,1193
1520.0,19,1482.0,183,1647193800,11936
,0,1423.0,2,1647193800,1195
,0,193.0,43,1647193800,11951
2499.0,200,2427.0,904,1647193800,11959
12752.0,141,,0,1647193800,11968
1007.0,5,1028.0,1,1647193800,1197
12907.0,33,,0,1647193800,11972
12530.0,113,12260.0,5,1647193800,11978
13550.0,65,13659.0,4,1647193800,11980
2946.0,8,2850.0,20,1647193800,1199
1390.0,1,1262.0,21,1647193800,11992
,0,198.0,206,1647193800,11994
2140562.0,1,2059063.0,1,1647193800,11998
2271881.0,3,,0,1647193800,12000
432590.0,1,430000.0,1,1647193800,12002
733963.0,7,,0,1647193800,12004
31958.0,23,31951.0,87,1647193800,1201
,0,90.0,1,1647193800,1205
,0,342.0,8,1647193800,1211
,0,4400.0,90,1647193800,1213
17351.0,2,17345.0,90,1647193800,1215
161.0,1,,0,1647193800,1217
20157.0,1,,0,1647193800,12197
3419.0,1,,0,1647193800,12201
35478.0,2,,0,1647193800,12203
,0,57500.0,1,1647193800,12211
,0,61638.0,1,1647193800,12231
,0,46000.0,1,1647193800,12233
,0,320069.0,3,1647193800,12235
,0,10001.0,1,1647193800,12239
,0,208101.0,2,1647193800,12241
11856.0,1,,0,1647193800,12257
25097.0,1,,0,1647193800,12259
,0,27406.0,1,1647193800,12271
,0,8523.0,1,1647193800,12283
,0,4313.0,1,1647193800,12285
,0,3901.0,1,1647193800,12291
,0,2100.0,1,1647193800,12293
,0,4304.0,1,1647193800,12297
4500.0,1,,0,1647193800,12301
16812.0,1,,0,1647193800,1231
3227.0,1,,0,1647193800,12313
,0,7000.0,1,1647193800,12321
,0,10000.0,1,1647193800,12329
,0,3777.0,1,1647193800,12341
,0,19999.0,1,1647193800,12361
523.0,2,,0,1647193800,1239
13143.0,9,12712.0,14,1647193800,12402
15999.0,4,,0,1647193800,12403
850.0,8,,0,1647193800,12404
4222.0,6,4107.0,16,1647193800,12405
24667.0,28,24265.0,3,1647193800,12406
480.0,5,475.0,10,1647193800,12407
2388.0,19,,0,1647193800,12408
13804.0,35,13335.0,21,1647193800,12409
38.0,2,,0,1647193800,1241
13952.0,1,,0,1647193800,12410
,0,940.0,2,1647193800,1245
,0,33005.0,1,1647193800,12466
12679.0,1,11993.0,6,1647193800,1247
,0,35404.0,1,1647193800,12478
,0,32100.0,1,1647193800,12488
38399.0,1,37600.0,7,1647193800,1249
,0,63975.0,2,1647193800,12490
286232.0,2,,0,1647193800,12492
558654.0,1,,0,1647193800,12494
,0,227709.0,1,1647193800,12500
,0,573921.0,1,1647193800,12502
,0,83637.0,1,1647193800,12504
116998.0,1,,0,1647193800,12506
,0,504194.0,1,1647193800,12508
107999.0,1,,0,1647193800,12512
894539.0,2,879332.0,2,1647193800,12526
,0,20000.0,1,1647193800,12532
,0,5257084.0,1,1647193800,12596
,0,500000.0,1,1647193800,12605
,0,2465.0,1,1647193800,12613
2263.0,1,2501.0,2,1647193800,12615
,0,21321.0,1,1647193800,12620
,0,29538.0,1,1647193800,12621
,0,22814.0,2,1647193800,12623
6803.0,1405,6708.0,5454,1647193800,12625
,0,4985.0,7,1647193800,12627
,0,3127.0,2,1647193800,12629
,0,1625.0,2,1647193800,12631
10130.0,17,10000.0,6,1647193800,12642
61.0,5,60.0,1,1647193800,1265
422.0,2,,0,1647193800,1269
12136.0,315,12093.0,52,1647193800,12695
9284.0,1,9049.0,6,1647193800,12697
6779.0,73,6317.0,22,1647193800,12699
,0,61.0,185,1647193800,127
,0,3118.0,4,1647193800,12701
1283.0,2,1372.0,2,1647193800,1271
390.0,35,353.0,44,1647193800,1273
19000.0,3,18569.0,32,1647193800,1275
,0,90.0,1,1647193800,1277
1981111.0,2,,0,1647193800,12771
,0,1390.0,1,1647193800,12777
1050.0,40,,0,1647193800,12778
,0,1746.0,2,1647193800,12779
86700.0,1,,0,1647193800,12783
149585.0,1,143472.0,2,1647193800,12786
284919.0,1,,0,1647193800,12789
1350000.0,1,,0,1647193800,12800
,0,1565000.0,1,1647193800,12802
109214997.0,2,,0,1647193800,12821
,0,105788000.0,1,1647193800,12823
168333000.0,2,166570000.0,1,1647193800,12825
66691.0,2,80083.0,11,1647193800,12829
,0,281.0,2,1647193800,1285
43000.0,1,,0,1647193800,12851
763587.0,4,753498.0,3,1647193800,12863
8187.0,1,,0,1647193800,12865
8882.0,2,,0,1647193800,12867
12431.0,3,9325.0,1,1647193800,12869
1200.0,1,,0,1647193800,1287
16794.0,12,,0,1647193800,12871
2048469.0,1,2018358.0,2,1647193800,12873
953001.0,3,921005.0,1,1647193800,12875
3938037.0,22,3885314.0,2,1647193800,12877
,0,4705000.0,1,1647193800,12881
4549000.0,1,,0,1647193800,12883
11924.0,4,11840.0,6,1647193800,1289
,0,3048466.0,1,1647193800,12900
11086050.0,4,10755162.0,5,1647193800,12902
3030.0,56,,0,1647193800,12905
10970.0,160,10408.0,47,1647193800,12913
,0,5485.0,1,1647193800,12917
3500.0,20,2651.0,1,1647193800,12919
,0,2823000.0,2,1647193800,12922
2966869.0,11,2897179.0,1,1647193800,12924
,0,2800000.0,1,1647193800,12927
2893580.0,2,2845790.0,2,1647193800,12929
,0,80.0,1,1647193800,1293
,0,2909299.0,1,1647193800,12932
145.0,535060,143.0,89431,1647193800,12934
20321.0,28,19972.0,31,1647193800,12938
158.0,2,116.0,1,1647193800,1295
1631.0,1,,0,1647193800,12984
8100.0,1,,0,1647193800,12988
,0,1613.0,5,1647193800,1301
193000.0,1,,0,1647193800,13028
18601.0,3,18602.0,120,1647193800,1303
241500.0,1,,0,1647193800,13040
200000.0,2,,0,1647193800,13048
59241.0,8,59126.0,45,1647193800,1305
170000.0,2,,0,1647193800,13052
172944.0,1,,0,1647193800,13056
185996.0,1,,0,1647193800,13058
199.0,1,,0,1647193800,1309
,0,375.0,1,1647193800,1311
1202.0,2,,0,1647193800,1315
3650.0,1,3501.0,9,1647193800,1317
,0,37900.0,9,1647193800,1319
5569631.0,24,5357514.0,10,1647193800,13190
2034377.0,1,2005810.0,1,1647193800,13227
100.0,1,80.0,1,1647193800,1323
2783166.0,4,2757879.0,3,1647193800,13235
43470000.0,1,,0,1647193800,13237
27525876.0,2,27233609.0,7,1647193800,13239
3026330.0,1,,0,1647193800,13265
2146.0,6,,0,1647193800,1327
2969466.0,1,2966462.0,2,1647193800,13271
207.0,1,,0,1647193800,133
1228.0,4,1160.0,1,1647193800,1331
15200.0,6,14992.0,35,1647193800,1333
62.0,1,,0,1647193800,1335
,0,931.0,5,1647193800,13383
1976.0,2,,0,1647193800,13385
3650.0,2,2850.0,3,1647193800,13387
6976.0,4,,0,1647193800,13389
,0,140.0,106,1647193800,1339
24.0,500,,0,1647193800,13391
7.0,1400,5.0,4333,1647193800,13421
800.0,1,703.0,2,1647193800,1343
,0,1690.0,60,1647193800,13439
1925.0,11078,1906.0,2506,1647193800,13441
2372.0,4,,0,1647193800,1345
,0,712.0,2,1647193800,13463
24739.0,2,24579.0,131,1647193800,1347
1451.0,200,1045.0,111,1647193800,13475
,0,1209.0,3,1647193800,13478
,0,1544.0,2,1647193800,13484
,0,1299.0,4,1647193800,13487
53.0,2,,0,1647193800,1349
,0,1800.0,1,1647193800,13493
,0,2109.0,17,1647193800,13496
,0,4013.0,11,1647193800,13502
,0,1570.0,9,1647193800,13505
2855.0,1,2800.0,32,1647193800,13508
58.0,1,55.0,1,1647193800,1351
,0,4400.0,29,1647193800,13511
45.0,14,,0,1647193800,1353
69.0,3,,0,1647193800,1355
453.0,15,410.0,1,1647193800,1357
,0,670.0,883,1647193800,13573
,0,35625000.0,1,1647193800,13576
,0,7150.0,14,1647193800,1359
457.0,2,453.0,2,1647193800,1361
150.0,2,150.0,2,1647193800,1365
79716833.0,2,78690496.0,2,1647193800,13652
,0,719.0,2,1647193800,1369
,0,2093.0,15,1647193800,1371
24724.0,4,24413.0,24,1647193800,1373
120947.0,1,119160.0,18,1647193800,1377
43.0,1,43.0,1,1647193800,1379
1505.0,10,1301.0,1,1647193800,1381
968.0,4,,0,1647193800,1383
,0,1140.0,1,1647193800,1387
9768.0,131,9714.0,674,1647193800,139
8134.0,1432,8133.0,4253,1647193800,1391
9040.0,2,8909.0,156,1647193800,1393
,0,8865.0,4,1647193800,1395
8966.0,98,8942.0,6233,1647193800,1397
8902.0,576,8901.0,461,1647193800,1399
25199.0,2,25050.0,14,1647193800,1401
,0,25130.0,23,1647193800,1403
25019.0,3,25019.0,25,1647193800,1405
25000.0,2,25000.0,22,1647193800,1407
,0,6353.0,54,1647193800,141
,0,3151.0,38,1647193800,143
8178.0,3,8189.0,25,1647193800,1432
29276.0,1,29276.0,14,1647193800,1434
12.0,1816,13.0,100,1647193800,1436
,0,505.0,43,1647193800,1440
4904.0,1,,0,1647193800,1442
573.0,1,546.0,174,1647193800,1444
,0,1705.0,10,1647193800,1446
6146.0,4,6050.0,2,1647193800,1448
,0,161.0,14,1647193800,145
980.0,20,639.0,2,1647193800,1452
9326.0,2,,0,1647193800,1456
625.0,1,600.0,2,1647193800,1462
,0,103.0,1,1647193800,147
1589.0,2,,0,1647193800,1470
1845.0,2,,0,1647193800,1474
1418.0,2,,0,1647193800,1476
,0,1073.0,1,1647193800,1478
49.0,95,48.0,286,1647193800,1511
943.0,1450,934.0,2917,1647193800,1513
192.0,802,192.0,11177,1647193800,1515
10.0,2975,10.0,771,1647193800,1517
19.0,211,18.0,40,1647193800,1519
65.0,162,65.0,160,1647193800,1521
201.0,233,,0,1647193800,1523
24.0,1150,,0,1647193800,1539
88.0,208,,0,1647193800,1540
,0,100.0,2,1647193800,1550
,0,1507.0,3,1647193800,157
90.0,2,,0,1647193800,1573
1825.0,3,1806.0,601,1647193800,1601
911.0,211,900.0,2082,1647193800,1603
509.0,1,487.0,2590,1647193800,1605
325.0,238,311.0,88,1647193800,1607
849.0,9,849.0,1,1647193800,1609
,0,436.0,2,1647193800,161
277.0,4,,0,1647193800,1611
2198.0,504,,0,1647193800,1613
,0,11416.0,45,1647193800,1615
,0,2758.0,896,1647193800,1617
1144.0,53,1123.0,454,1647193800,1619
616.0,2719,595.0,2775,1647193800,1621
,0,345.0,744,1647193800,1623
505.0,5061,431.0,196,1647193800,1625
