,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,194140.0,1,,0,1646684400,10
10000,,0,4001.0,3,1646684400,10000
10006,9.0,2,,0,1646684400,10006
10008,54.0,346,,0,1646684400,10008
10010,15.0,2,,0,1646684400,10010
10012,480.0,20,,0,1646684400,10012
10033,900.0,1000,758.0,2,1646684400,10033
10034,840.0,11458,,0,1646684400,10034
1005,150.0,1,102.0,1,1646684400,1005
10059,,0,860.0,1,1646684400,10059
10061,1.0,1,,0,1646684400,10061
10071,7900.0,1,3550.0,1,1646684400,10071
10075,5000.0,6,,0,1646684400,10075
10083,,0,1710.0,3,1646684400,10083
101,879.0,3814,882.0,1400,1646684400,101
1011,64.0,1,35.0,1,1646684400,1011
1013,,0,110.0,1,1646684400,1013
10132,798.0,2,,0,1646684400,10132
10146,,0,21.0,2,1646684400,10146
10147,,0,22.0,38,1646684400,10147
10284,4960.0,1,,0,1646684400,10284
1029,,0,601.0,1,1646684400,1029
10292,21601.0,2,,0,1646684400,10292
10310,,0,5555.0,2,1646684400,10310
1033,4229.0,42,4138.0,6,1646684400,1033
10330,41847990.0,1,,0,1646684400,10330
10332,21587990.0,1,,0,1646684400,10332
1035,1620.0,21,2634.0,1,1646684400,1035
10362,,0,50000.0,1,1646684400,10362
10366,,0,35006.0,1,1646684400,10366
10368,,0,153400.0,3,1646684400,10368
10370,674554.0,4,,0,1646684400,10370
10372,877162.0,2,842378.0,3,1646684400,10372
10378,298654.0,1,287737.0,2,1646684400,10378
10380,593907.0,1,,0,1646684400,10380
10382,107000.0,1,,0,1646684400,10382
10388,785844.0,2,,0,1646684400,10388
10390,83648.0,4,,0,1646684400,10390
10444,7500.0,1,,0,1646684400,10444
10448,,0,8609.0,1,1646684400,10448
10452,39413.0,1,,0,1646684400,10452
10454,,0,15023.0,1,1646684400,10454
10462,103387.0,2,,0,1646684400,10462
10464,115308.0,1,,0,1646684400,10464
10466,96000.0,1,,0,1646684400,10466
10476,,0,6620.0,110,1646684400,10476
105,1718.0,200,,0,1646684400,105
1061,78.0,3,78.0,1,1646684400,1061
1063,14.0,3,,0,1646684400,1063
1065,1447.0,2,1355.0,2,1646684400,1065
1067,95.0,2,,0,1646684400,1067
1069,627.0,2,,0,1646684400,1069
1071,,0,1332.0,2,1646684400,1071
1073,,0,3481.0,12,1646684400,1073
1075,382.0,1,,0,1646684400,1075
1077,,0,1600.0,4,1646684400,1077
1079,37976.0,46,37803.0,131,1646684400,1079
10812,853.0,16,,0,1646684400,10812
10828,52724.0,17,52070.0,32,1646684400,10828
1083,500.0,1,394.0,1,1646684400,1083
1085,1400.0,1,,0,1646684400,1085
10891,2663.0,30,,0,1646684400,10891
109,1105.0,1102,,0,1646684400,109
1091,3492.0,8,,0,1646684400,1091
10925,27370.0,58,26740.0,13,1646684400,10925
1093,37805.0,98,37800.0,5,1646684400,1093
1095,5.0,1,,0,1646684400,1095
1097,989.0,1,545.0,1,1646684400,1097
1099,,0,2101.0,9,1646684400,1099
1103,,0,196.0,1,1646684400,1103
1105,251.0,10,,0,1646684400,1105
11065,750.0,1,,0,1646684400,11065
11069,,0,209.0,145,1646684400,11069
1109,,0,1048.0,6,1646684400,1109
11090,2273.0,546,,0,1646684400,11090
11092,,0,2003.0,1000,1646684400,11092
11105,12000.0,4,,0,1646684400,11105
1111,2760.0,4,2624.0,2,1646684400,1111
11113,,0,12352.0,14,1646684400,11113
11118,12363.0,1,12090.0,1,1646684400,11118
11126,12448.0,519,12280.0,2,1646684400,11126
1113,29562.0,3,29446.0,90,1646684400,1113
1115,135.0,1,,0,1646684400,1115
1119,,0,860.0,120,1646684400,1119
11200,57000.0,2,51390.0,1,1646684400,11200
1121,,0,2725.0,1440,1646684400,1121
11212,1298.0,68,1278.0,740,1646684400,11212
11229,2397.0,40,,0,1646684400,11229
1123,9549.0,125,9537.0,209,1646684400,1123
11230,1968.0,5550,,0,1646684400,11230
11232,,0,2254.0,922,1646684400,11232
11235,719005.0,3,703748.0,4,1646684400,11235
11237,,0,1369.0,650,1646684400,11237
11238,1892.0,6,1892.0,24,1646684400,11238
11240,,0,2509.0,28,1646684400,11240
11242,,0,3243.0,84,1646684400,11242
11244,,0,2044.0,20,1646684400,11244
11246,,0,2286.0,13,1646684400,11246
11248,,0,4281.0,1796,1646684400,11248
1125,3250.0,2,3023.0,2,1646684400,1125
11250,,0,4758.0,51,1646684400,11250
11252,21972.0,100,21406.0,101,1646684400,11252
11254,39896.0,12,38953.0,3,1646684400,11254
11260,791.0,5112,768.0,189,1646684400,11260
1127,38436.0,43,38421.0,128,1646684400,1127
11284,3647088.0,2,3598772.0,5,1646684400,11284
113,314.0,1,314.0,4,1646684400,113
1131,1.0,4,,0,1646684400,1131
11326,346.0,98,,0,1646684400,11326
1133,355.0,2,330.0,2,1646684400,1133
11332,,0,180.0,53,1646684400,11332
1135,4239.0,496,4231.0,5005,1646684400,1135
11371,,0,107.0,1,1646684400,11371
1139,99.0,53,,0,1646684400,1139
1145,,0,890.0,2,1646684400,1145
11465,,0,5625.0,2,1646684400,11465
1147,11041.0,10,11084.0,56,1646684400,1147
1149,,0,58799.0,18,1646684400,1149
115,224.0,1,224.0,1,1646684400,115
1153,65.0,2,60.0,2,1646684400,1153
1157,296.0,2,,0,1646684400,1157
1159,,0,684.0,4,1646684400,1159
1161,1868.0,1,1771.0,20,1646684400,1161
1163,20483.0,8,20484.0,196,1646684400,1163
1165,481.0,5,401.0,1,1646684400,1165
1167,,0,6.0,1,1646684400,1167
1169,33.0,16,,0,1646684400,1169
117,,0,148.0,1,1646684400,117
1171,,0,94.0,1,1646684400,1171
1177,,0,152.0,1,1646684400,1177
11785,35082278.0,5,34627760.0,5,1646684400,11785
11802,12326212.0,11,12291001.0,2,1646684400,11802
11804,14145653.0,5,13952398.0,2,1646684400,11804
11806,27000000.0,1,27000000.0,1,1646684400,11806
11808,4404234.0,2,,0,1646684400,11808
1181,,0,676.0,1,1646684400,1181
11818,,0,152000.0,2,1646684400,11818
11824,12685439.0,5,12426041.0,1,1646684400,11824
11826,9124999.0,6,9035655.0,1,1646684400,11826
11828,39762300.0,3,39322484.0,6,1646684400,11828
1183,,0,2174.0,2,1646684400,1183
11830,35653116.0,3,35225963.0,2,1646684400,11830
11832,25412109.0,5,,0,1646684400,11832
11834,21782108.0,3,21460000.0,2,1646684400,11834
11836,271200.0,1,263703.0,4,1646684400,11836
11838,,0,306908.0,2,1646684400,11838
11840,,0,168929.0,10,1646684400,11840
1185,,0,22600.0,1,1646684400,1185
1187,306691.0,3,300177.0,2,1646684400,1187
11875,67.0,9500,,0,1646684400,11875
11889,12872049.0,1,12617084.0,2,1646684400,11889
11902,,0,40000.0,2,1646684400,11902
11905,744377.0,3,,0,1646684400,11905
11908,,0,42500.0,1,1646684400,11908
1191,22.0,3,21.0,1,1646684400,1191
11920,4820870.0,5,4801016.0,1,1646684400,11920
11936,1578.0,12,1536.0,210,1646684400,11936
11943,,0,3204.0,61,1646684400,11943
1195,1999.0,1,1036.0,1,1646684400,1195
11951,129.0,675,103.0,17,1646684400,11951
11953,,0,95.0,1,1646684400,11953
11959,2284.0,3801,2246.0,1157,1646684400,11959
11964,74737.0,1,,0,1646684400,11964
11968,12860.0,18,,0,1646684400,11968
1197,,0,1056.0,56,1646684400,1197
11972,12618.0,4,,0,1646684400,11972
11978,12939.0,142,12635.0,10,1646684400,11978
11980,13610.0,157,13357.0,1,1646684400,11980
1199,,0,2880.0,8,1646684400,1199
11990,9236.0,1,,0,1646684400,11990
11992,1341.0,2000,1332.0,20,1646684400,11992
11994,,0,204.0,173,1646684400,11994
11998,2361510.0,2,2329151.0,1,1646684400,11998
12,190000.0,1,,0,1646684400,12
12000,2507874.0,1,2344633.0,1,1646684400,12000
12002,450593.0,4,446206.0,1,1646684400,12002
12004,889705.0,1,,0,1646684400,12004
1201,31931.0,43,31932.0,137,1646684400,1201
1203,100.0,4,100.0,2,1646684400,1203
1205,,0,190.0,1,1646684400,1205
1207,,0,36.0,1,1646684400,1207
121,4.0,1,,0,1646684400,121
1211,,0,261.0,3,1646684400,1211
1213,,0,4428.0,61,1646684400,1213
1215,17383.0,7,17288.0,99,1646684400,1215
12199,,0,5000.0,1,1646684400,12199
12249,,0,10468.0,1,1646684400,12249
12253,,0,114313.0,1,1646684400,12253
12269,10874.0,1,7478.0,1,1646684400,12269
