,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10002,,0,2200.0,2,1646697600,10002
10006,9.0,2,,0,1646697600,10006
10008,47.0,250,,0,1646697600,10008
10010,15.0,2,,0,1646697600,10010
10034,830.0,11600,833.0,7000,1646697600,10034
10035,2195.0,1,,0,1646697600,10035
10037,3995.0,1,,0,1646697600,10037
10039,9498.0,1,,0,1646697600,10039
1005,150.0,1,102.0,3,1646697600,1005
1007,,0,150.0,4,1646697600,1007
10071,7900.0,1,,0,1646697600,10071
1009,,0,169.0,1,1646697600,1009
10099,,0,3600.0,1,1646697600,10099
1011,61.0,5,,0,1646697600,1011
10127,1245.0,2,,0,1646697600,10127
1013,108.0,5,,0,1646697600,1013
10142,,0,2.0,165,1646697600,10142
10143,1.0,1245,1.0,60,1646697600,10143
10148,,0,550.0,8,1646697600,10148
10149,,0,285.0,1,1646697600,10149
1017,,0,457.0,2,1646697600,1017
1019,,0,564.0,1,1646697600,1019
10280,,0,4016.0,1,1646697600,10280
103,2563.0,400,,0,1646697600,103
10320,25971.0,1,,0,1646697600,10320
10322,69355.0,2,,0,1646697600,10322
10326,,0,99.0,5,1646697600,10326
10327,,0,40.0,16,1646697600,10327
1033,,0,4345.0,2,1646697600,1033
10346,66105337.0,1,,0,1646697600,10346
10348,90947009.0,1,,0,1646697600,10348
1035,1515.0,3,1025.0,10,1646697600,1035
10366,,0,50000.0,1,1646697600,10366
10370,685755.0,1,646844.0,2,1646697600,10370
10372,,0,817281.0,1,1646697600,10372
10378,,0,274036.0,1,1646697600,10378
10382,,0,92280.0,3,1646697600,10382
10386,,0,433294.0,4,1646697600,10386
10388,880000.0,2,815080.0,3,1646697600,10388
10390,83648.0,1,,0,1646697600,10390
1040,,0,3171.0,1,1646697600,1040
1042,6098.0,5,6000.0,2,1646697600,1042
1044,,0,2356.0,1,1646697600,1044
10446,19068.0,1,,0,1646697600,10446
10448,16472.0,2,,0,1646697600,10448
10454,33308.0,1,,0,1646697600,10454
10468,,0,147000.0,1,1646697600,10468
10474,19800.0,1,,0,1646697600,10474
10476,6694.0,20,6606.0,69,1646697600,10476
1048,,0,3775.0,20,1646697600,1048
10496,,0,5000.0,1,1646697600,10496
1059,74.0,2,32.0,39,1646697600,1059
1063,,0,6.0,47,1646697600,1063
1065,1322.0,1,,0,1646697600,1065
107,1939.0,3,,0,1646697600,107
1071,1360.0,1,1332.0,1,1646697600,1071
1073,3500.0,2,3491.0,30,1646697600,1073
1077,,0,1396.0,1,1646697600,1077
1079,37802.0,27,37517.0,134,1646697600,1079
1081,28.0,2,,0,1646697600,1081
10822,1580.0,2,,0,1646697600,10822
10826,2148.0,4,2012.0,1,1646697600,10826
10828,52793.0,5,51602.0,27,1646697600,10828
1085,,0,1397.0,18,1646697600,1085
1087,,0,35.0,45,1646697600,1087
1091,,0,3318.0,1,1646697600,1091
10925,27314.0,405,26814.0,280,1646697600,10925
10927,21634.0,1,21634.0,70,1646697600,10927
10929,,0,12150.0,3,1646697600,10929
1093,37945.0,73,37805.0,43,1646697600,1093
10931,,0,6681.0,1,1646697600,10931
1095,10.0,1,10.0,1,1646697600,1095
1097,,0,545.0,1,1646697600,1097
10973,,0,152.0,1,1646697600,10973
1099,2222.0,1,2181.0,55,1646697600,1099
1101,190.0,1,,0,1646697600,1101
1105,300.0,1,,0,1646697600,1105
11065,749.0,3,,0,1646697600,11065
11079,965.0,1,,0,1646697600,11079
11085,,0,1246.0,66,1646697600,11085
1109,999.0,9,1000.0,2,1646697600,1109
11092,2095.0,1,2010.0,77,1646697600,11092
11105,12650.0,4,,0,1646697600,11105
1111,,0,3520.0,1,1646697600,1111
11113,,0,12353.0,12,1646697600,11113
11118,12363.0,65,12090.0,3,1646697600,11118
11126,,0,12221.0,48,1646697600,11126
11128,1947092.0,2,1926274.0,1,1646697600,11128
1113,29446.0,6,29461.0,223,1646697600,1113
11133,1909949.0,3,1900000.0,2,1646697600,11133
1115,71.0,2,59.0,96,1646697600,1115
1117,,0,26.0,80,1646697600,1117
1119,919.0,75,863.0,2,1646697600,1119
1121,2750.0,51,2736.0,7,1646697600,1121
11212,1304.0,5489,1298.0,2294,1646697600,11212
1123,9450.0,251,9300.0,80,1646697600,1123
11230,1955.0,6198,1936.0,2401,1646697600,11230
11232,2206.0,14,2209.0,3937,1646697600,11232
11235,,0,645000.0,1,1646697600,11235
11237,,0,1215.0,825,1646697600,11237
11238,,0,1986.0,34,1646697600,11238
11240,,0,2509.0,8,1646697600,11240
11242,,0,3240.0,318,1646697600,11242
11244,1799.0,5,1799.0,5,1646697600,11244
11246,,0,2271.0,16,1646697600,11246
11248,,0,4299.0,609,1646697600,11248
1125,,0,3023.0,1,1646697600,1125
11250,,0,4758.0,159,1646697600,11250
11252,22012.0,64,21406.0,95,1646697600,11252
11254,,0,39100.0,18,1646697600,11254
11256,,0,339500.0,10,1646697600,11256
11260,790.0,175,756.0,187,1646697600,11260
1127,38391.0,2,38387.0,168,1646697600,1127
11284,3615595.0,4,3557448.0,3,1646697600,11284
1129,,0,26.0,51,1646697600,1129
113,352.0,10,335.0,11,1646697600,113
1131,,0,2.0,205,1646697600,1131
1133,,0,432.0,1,1646697600,1133
1135,4254.0,4,4240.0,496,1646697600,1135
1137,1.0,3,1.0,1,1646697600,1137
11377,,0,11900.0,11,1646697600,11377
1141,130.0,2,,0,1646697600,1141
1143,,0,354.0,2,1646697600,1143
