,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,175659.0,4,1646683500,10
10006,9.0,1,,0,1646683500,10006
10008,54.0,250,,0,1646683500,10008
10029,6.0,1,,0,1646683500,10029
10033,,0,758.0,144,1646683500,10033
10034,840.0,300,,0,1646683500,10034
1007,151.0,1,,0,1646683500,1007
10071,,0,5000.0,2,1646683500,10071
10075,,0,3325.0,1,1646683500,10075
10083,,0,1710.0,15,1646683500,10083
10088,12.0,3809,,0,1646683500,10088
10089,56.0,320,,0,1646683500,10089
1009,,0,169.0,3,1646683500,1009
10099,,0,3600.0,1,1646683500,10099
1013,110.0,2,,0,1646683500,1013
10136,,0,90.0,5,1646683500,10136
10150,1.0,5,,0,1646683500,10150
10159,,0,876.0,58,1646683500,10159
1017,1000.0,1,457.0,2,1646683500,1017
1019,300.0,1,300.0,2,1646683500,1019
10284,,0,4869.0,2,1646683500,10284
10286,,0,37560.0,1,1646683500,10286
103,,0,2692.0,840,1646683500,103
1033,4229.0,3,4138.0,1,1646683500,1033
10346,,0,65081001.0,1,1646683500,10346
10348,,0,88888888.0,1,1646683500,10348
1035,1620.0,4,,0,1646683500,1035
10364,,0,14005.0,1,1646683500,10364
10368,134100.0,1,,0,1646683500,10368
10370,676617.0,1,654659.0,1,1646683500,10370
10372,,0,821378.0,2,1646683500,10372
10374,,0,90261.0,1,1646683500,10374
10376,,0,16321.0,2,1646683500,10376
10378,300555.0,1,270773.0,2,1646683500,10378
10380,,0,578702.0,3,1646683500,10380
10382,,0,75000.0,2,1646683500,10382
10388,780026.0,1,750000.0,1,1646683500,10388
10394,,0,4314400.0,2,1646683500,10394
1042,9000.0,1,7446.0,1,1646683500,1042
10440,5647.0,1,,0,1646683500,10440
10446,27299.0,2,,0,1646683500,10446
10448,,0,20001.0,2,1646683500,10448
10450,,0,18456.0,1,1646683500,10450
10454,30159.0,2,,0,1646683500,10454
10464,,0,90230.0,1,1646683500,10464
10476,,0,6619.0,101,1646683500,10476
10496,5000.0,2,,0,1646683500,10496
105,1715.0,1500,,0,1646683500,105
1055,,0,15000.0,1,1646683500,1055
10564,,0,49800.0,1,1646683500,10564
1059,73.0,2,30.0,2,1646683500,1059
1061,35.0,4,,0,1646683500,1061
1063,6.0,2,6.0,3,1646683500,1063
1067,94.0,3,,0,1646683500,1067
1069,627.0,2,,0,1646683500,1069
107,1939.0,80,,0,1646683500,107
1071,1360.0,1,1332.0,6,1646683500,1071
1073,,0,3481.0,19,1646683500,1073
1075,382.0,2,,0,1646683500,1075
1077,1750.0,3,1600.0,44,1646683500,1077
1079,37909.0,35,37792.0,193,1646683500,1079
10828,53168.0,24,51708.0,24,1646683500,10828
1085,,0,1391.0,2,1646683500,1085
10925,,0,26739.0,72,1646683500,10925
1093,37829.0,6,37805.0,11,1646683500,1093
10931,,0,6681.0,1,1646683500,10931
1097,,0,545.0,9,1646683500,1097
1099,,0,1975.0,6,1646683500,1099
10999,,0,400.0,3,1646683500,10999
1101,91.0,4,,0,1646683500,1101
1103,,0,196.0,2,1646683500,1103
11037,149260.0,2,,0,1646683500,11037
1105,251.0,3,,0,1646683500,1105
11069,209.0,2817,,0,1646683500,11069
1107,1891.0,1,,0,1646683500,1107
11085,,0,1278.0,909,1646683500,11085
1109,971.0,7,,0,1646683500,1109
11090,2273.0,30,2208.0,3,1646683500,11090
11092,2095.0,5,,0,1646683500,11092
11105,12000.0,12,,0,1646683500,11105
1111,2760.0,6,2624.0,15,1646683500,1111
11113,,0,12352.0,15,1646683500,11113
11115,11999.0,750,11999.0,751,1646683500,11115
11118,12363.0,5,12090.0,2,1646683500,11118
11126,12448.0,13,12280.0,12,1646683500,11126
11128,1926274.0,2,1912518.0,2,1646683500,11128
1113,29793.0,2,29552.0,51,1646683500,1113
11133,,0,1915477.0,2,1646683500,11133
1115,89.0,11,88.0,14,1646683500,1115
1117,,0,25.0,31,1646683500,1117
1119,842.0,54,857.0,961,1646683500,1119
1121,2823.0,1,2734.0,321,1646683500,1121
11212,1298.0,388,1274.0,723,1646683500,11212
11229,,0,2252.0,5,1646683500,11229
1123,9551.0,1,9405.0,247,1646683500,1123
11230,1941.0,292,1930.0,3,1646683500,11230
11232,,0,2219.0,1515,1646683500,11232
11235,719773.0,1,719751.0,4,1646683500,11235
11237,,0,1366.0,2175,1646683500,11237
11238,1892.0,17,1892.0,91,1646683500,11238
11240,,0,2509.0,108,1646683500,11240
11242,,0,3243.0,476,1646683500,11242
11244,,0,1759.0,27,1646683500,11244
11246,,0,2326.0,20,1646683500,11246
11248,4300.0,99,4315.0,6597,1646683500,11248
1125,3135.0,3,3023.0,20,1646683500,1125
11250,,0,4758.0,18,1646683500,11250
11252,,0,21406.0,3,1646683500,11252
11254,,0,38953.0,1,1646683500,11254
11260,788.0,709,768.0,1140,1646683500,11260
1127,38552.0,20,38486.0,251,1646683500,1127
11284,3613299.0,14,3577823.0,3,1646683500,11284
1129,,0,26.0,25,1646683500,1129
1131,1.0,251,,0,1646683500,1131
1133,,0,330.0,1,1646683500,1133
11332,,0,180.0,1,1646683500,11332
1135,4239.0,915,4237.0,5,1646683500,1135
11377,,0,11933.0,5,1646683500,11377
1139,90.0,4,,0,1646683500,1139
1141,172.0,4,47.0,1,1646683500,1141
1143,,0,362.0,26,1646683500,1143
1145,890.0,3,,0,1646683500,1145
1147,,0,11101.0,14,1646683500,1147
11473,238.0,6,,0,1646683500,11473
1149,61000.0,1,58753.0,9,1646683500,1149
1151,158.0,2,151.0,1,1646683500,1151
1157,296.0,1,150.0,1,1646683500,1157
1159,718.0,2,695.0,3,1646683500,1159
1161,1850.0,5,1780.0,21,1646683500,1161
1163,,0,20558.0,300,1646683500,1163
1165,464.0,5,,0,1646683500,1165
1169,33.0,208,32.0,1,1646683500,1169
1171,,0,95.0,1,1646683500,1171
1173,,0,2.0,1,1646683500,1173
11785,35081774.0,4,34655995.0,1,1646683500,11785
11787,78811.0,3,,0,1646683500,11787
1179,410.0,5,,0,1646683500,1179
11802,12560452.0,2,12365493.0,7,1646683500,11802
11804,14186522.0,3,13896894.0,6,1646683500,11804
11806,26901251.0,1,,0,1646683500,11806
11808,4409976.0,1,4357867.0,1,1646683500,11808
1181,,0,601.0,1,1646683500,1181
11812,,0,13251007.0,1,1646683500,11812
11820,,0,153000.0,2,1646683500,11820
11822,,0,157001.0,2,1646683500,11822
11824,12627563.0,2,12546752.0,1,1646683500,11824
11826,9145589.0,3,9001102.0,1,1646683500,11826
11828,39757769.0,4,39254794.0,1,1646683500,11828
1183,2299.0,1,2174.0,12,1646683500,1183
11830,35699000.0,2,35297139.0,5,1646683500,11830
11832,25306055.0,4,25100168.0,6,1646683500,11832
11834,21733115.0,4,21474845.0,5,1646683500,11834
11838,,0,263500.0,1,1646683500,11838
11840,,0,169491.0,26,1646683500,11840
1185,22797.0,1,22450.0,41,1646683500,1185
11875,67.0,4600,65.0,1410,1646683500,11875
11876,58.0,2,57.0,1,1646683500,11876
11889,12734334.0,2,,0,1646683500,11889
1189,,0,90.0,1,1646683500,1189
11902,,0,40000.0,1,1646683500,11902
11905,745600.0,1,733537.0,1,1646683500,11905
11908,48938.0,4,45005.0,1,1646683500,11908
1191,22.0,1,,0,1646683500,1191
11920,,0,4796348.0,5,1646683500,11920
1193,360.0,4,252.0,1,1646683500,1193
11936,,0,1536.0,410,1646683500,11936
11940,2.0,2160,,0,1646683500,11940
11943,3372.0,1,3204.0,105,1646683500,11943
11951,103.0,1839,,0,1646683500,11951
11957,50.0,2,,0,1646683500,11957
11959,2280.0,1500,2241.0,849,1646683500,11959
11964,74737.0,3,,0,1646683500,11964
11968,12860.0,45,12326.0,6,1646683500,11968
1197,,0,957.0,5,1646683500,1197
11972,12615.0,213,12288.0,9,1646683500,11972
11978,,0,12635.0,13,1646683500,11978
11980,13700.0,105,,0,1646683500,11980
1199,2959.0,125,2880.0,28,1646683500,1199
11990,9236.0,1,,0,1646683500,11990
11992,,0,1332.0,12,1646683500,11992
11994,,0,204.0,308,1646683500,11994
11998,,0,2320290.0,1,1646683500,11998
12,,0,185567.0,4,1646683500,12
12002,456451.0,2,449217.0,4,1646683500,12002
12004,865850.0,7,,0,1646683500,12004
1201,31931.0,6,31944.0,163,1646683500,1201
1203,,0,100.0,5,1646683500,1203
1207,97.0,2,36.0,2,1646683500,1207
121,4.0,14,4.0,300,1646683500,121
1211,,0,250.0,5,1646683500,1211
1213,4412.0,10,4387.0,25,1646683500,1213
1215,17280.0,4,17284.0,40,1646683500,1215
1217,,0,160.0,1,1646683500,1217
12251,,0,75000.0,2,1646683500,12251
12259,22118.0,1,,0,1646683500,12259
12261,18799.0,1,,0,1646683500,12261
12273,,0,57493.0,1,1646683500,12273
12275,,0,6019.0,2,1646683500,12275
12297,4548.0,1,,0,1646683500,12297
12357,168329.0,1,,0,1646683500,12357
1237,4391.0,1,1169.0,4,1646683500,1237
12385,,0,15339.0,1,1646683500,12385
12387,,0,40575.0,2,1646683500,12387
12402,12979.0,3,,0,1646683500,12402
12403,15600.0,31,15285.0,11,1646683500,12403
12404,745.0,18,905.0,6,1646683500,12404
12405,4713.0,1,4050.0,36,1646683500,12405
12406,25597.0,5,,0,1646683500,12406
12407,550.0,2,,0,1646683500,12407
12409,11063.0,3,,0,1646683500,12409
12410,5685.0,15,,0,1646683500,12410
12411,857.0,1,,0,1646683500,12411
1243,,0,281.0,2,1646683500,1243
1245,,0,855.0,58,1646683500,1245
1247,20395.0,1,,0,1646683500,1247
12486,,0,21026.0,1,1646683500,12486
1249,,0,38014.0,1,1646683500,1249
12490,83540.0,3,,0,1646683500,12490
12492,,0,262596.0,2,1646683500,12492
12498,,0,92832.0,2,1646683500,12498
12500,306346.0,1,276837.0,1,1646683500,12500
12502,618274.0,1,,0,1646683500,12502
12510,,0,748395.0,1,1646683500,12510
12512,117489.0,1,106644.0,3,1646683500,12512
12524,24095.0,2,24001.0,1,1646683500,12524
12596,4997117.0,1,4877007.0,2,1646683500,12596
12598,1497100.0,1,1394745.0,1,1646683500,12598
12603,1819929.0,1,,0,1646683500,12603
12614,1590.0,1,,0,1646683500,12614
12616,,0,2140.0,2,1646683500,12616
12621,,0,18942.0,1,1646683500,12621
12624,,0,30168.0,1,1646683500,12624
12625,6897.0,500,6761.0,2427,1646683500,12625
12629,,0,3391.0,8,1646683500,12629
12631,1805.0,12,1634.0,2,1646683500,12631
12640,,0,1088.0,800,1646683500,12640
12642,10654.0,16,,0,1646683500,12642
1267,180.0,2,124.0,1,1646683500,1267
1269,582.0,3,,0,1646683500,1269
12695,11381.0,3741,11331.0,869,1646683500,12695
12697,8612.0,2,8528.0,3,1646683500,12697
12701,2949.0,33,2861.0,2,1646683500,12701
1271,,0,1798.0,6,1646683500,1271
1273,344.0,66,5.0,108,1646683500,1273
1275,21500.0,4,18663.0,9,1646683500,1275
12769,2156442.0,2,,0,1646683500,12769
12775,1818.0,1,,0,1646683500,12775
12782,1280.0,2,,0,1646683500,12782
12783,99780.0,2,91000.0,3,1646683500,12783
12786,135228.0,1,130050.0,4,1646683500,12786
1281,36.0,8,,0,1646683500,1281
12821,98666375.0,1,97766888.0,2,1646683500,12821
12825,170839998.0,1,,0,1646683500,12825
12829,77041.0,2,74427.0,3,1646683500,12829
1283,305.0,1,,0,1646683500,1283
12831,,0,735000.0,1,1646683500,12831
1285,,0,317.0,4,1646683500,1285
12851,,0,33859.0,66,1646683500,12851
12863,772215.0,3,761937.0,3,1646683500,12863
12871,16712.0,3,,0,1646683500,12871
12873,2000000.0,1,,0,1646683500,12873
12875,,0,938995.0,1,1646683500,12875
12877,4099778.0,13,,0,1646683500,12877
12879,700000.0,1,,0,1646683500,12879
12883,4540999.0,1,,0,1646683500,12883
1289,,0,12075.0,7,1646683500,1289
129,30000.0,841,30000.0,841,1646683500,129
12900,2725000.0,1,2644844.0,4,1646683500,12900
12902,10355533.0,3,10211975.0,2,1646683500,12902
12905,,0,3152.0,1,1646683500,12905
12913,11096.0,180,11058.0,25,1646683500,12913
12924,2706300.0,4,2673583.0,3,1646683500,12924
12929,2677884.0,4,2652128.0,1,1646683500,12929
12934,135.0,1000,134.0,31644,1646683500,12934
12938,21480.0,71,21150.0,4,1646683500,12938
1295,195.0,2,116.0,1,1646683500,1295
1297,,0,328.0,3,1646683500,1297
13000,,0,6770.0,1,1646683500,13000
1301,,0,1620.0,12,1646683500,1301
13014,22354.0,1,,0,1646683500,13014
13024,132027.0,2,129101.0,2,1646683500,13024
1303,18499.0,17,18581.0,59,1646683500,1303
13036,,0,15035000.0,2,1646683500,13036
1305,59358.0,15,59110.0,204,1646683500,1305
1307,2242.0,2,,0,1646683500,1307
1315,,0,1210.0,2,1646683500,1315
13161,1710915.0,1,,0,1646683500,13161
13169,1575000.0,1,,0,1646683500,13169
1317,3650.0,2,3538.0,23,1646683500,1317
13171,,0,900000.0,1,1646683500,13171
1319,37906.0,9,37902.0,12,1646683500,1319
13190,5781673.0,17,5422702.0,14,1646683500,13190
13227,,0,2033470.0,6,1646683500,13227
13229,,0,82001.0,3,1646683500,13229
1323,120.0,1,,0,1646683500,1323
13233,4650935.0,2,4641641.0,2,1646683500,13233
13235,2717797.0,2,2685950.0,3,1646683500,13235
13237,40782202.0,3,40230955.0,1,1646683500,13237
13239,27167742.0,10,26909534.0,4,1646683500,13239
13263,21700000.0,2,21415757.0,2,1646683500,13263
13265,3072200.0,1,3072200.0,1,1646683500,13265
1327,,0,2104.0,1,1646683500,1327
13271,,0,3054398.0,2,1646683500,13271
1329,400.0,2,372.0,2,1646683500,1329
1331,1328.0,2,1300.0,2,1646683500,1331
1333,15000.0,2,14750.0,32,1646683500,1333
1337,,0,11.0,68,1646683500,1337
13387,3450.0,1,,0,1646683500,13387
13389,4500.0,1,,0,1646683500,13389
13391,,0,22.0,890,1646683500,13391
13421,4.0,1074,4.0,994,1646683500,13421
13439,1638.0,5000,1586.0,856,1646683500,13439
13441,1815.0,4168,1774.0,388,1646683500,13441
1345,,0,2300.0,20,1646683500,1345
1347,25333.0,6,25158.0,273,1646683500,1347
13472,,0,1000.0,1,1646683500,13472
13475,840.0,5,840.0,99,1646683500,13475
13478,,0,1131.0,4,1646683500,13478
13484,,0,1669.0,7,1646683500,13484
1349,63.0,1,,0,1646683500,1349
13490,,0,2000.0,2,1646683500,13490
13493,,0,1752.0,10,1646683500,13493
13496,,0,2477.0,16,1646683500,13496
13502,,0,5570.0,18,1646683500,13502
13508,2723.0,1,2602.0,3,1646683500,13508
1351,59.0,12,57.0,3,1646683500,1351
13511,,0,4516.0,80,1646683500,13511
1353,43.0,10,,0,1646683500,1353
1357,431.0,2,350.0,5,1646683500,1357
13573,,0,650.0,1410,1646683500,13573
13576,,0,35675043.0,2,1646683500,13576
1359,7213.0,13,7161.0,14,1646683500,1359
1361,654.0,1,,0,1646683500,1361
1365,169.0,3,,0,1646683500,1365
13652,79878796.0,2,79799445.0,4,1646683500,13652
1367,510.0,2,,0,1646683500,1367
1371,,0,2100.0,30,1646683500,1371
1373,24418.0,1,24418.0,45,1646683500,1373
1377,120574.0,1,119371.0,17,1646683500,1377
1381,1654.0,2,1654.0,1,1646683500,1381
1383,1250.0,12,,0,1646683500,1383
1387,1260.0,12,,0,1646683500,1387
139,9725.0,10,9604.0,1479,1646683500,139
1391,8104.0,2616,8103.0,2538,1646683500,1391
1393,8900.0,2,8826.0,468,1646683500,1393
1395,9018.0,2,8936.0,1,1646683500,1395
1397,8901.0,3436,8903.0,4430,1646683500,1397
1399,8888.0,1,8933.0,21,1646683500,1399
1401,25281.0,2,25162.0,11,1646683500,1401
1403,,0,25077.0,16,1646683500,1403
1405,,0,25100.0,11,1646683500,1405
1407,,0,25150.0,2,1646683500,1407
1424,38.0,2,,0,1646683500,1424
1432,,0,8201.0,41,1646683500,1432
1434,29390.0,3,29390.0,3,1646683500,1434
