,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10006,9.0,7,,0,1646703300,10006
10008,54.0,4,,0,1646703300,10008
10012,499.0,2,,0,1646703300,10012
10034,,0,830.0,1,1646703300,10034
1005,150.0,3,102.0,6,1646703300,1005
10071,,0,3550.0,11,1646703300,10071
10075,3532.0,2,,0,1646703300,10075
10085,3184.0,2,,0,1646703300,10085
1009,,0,169.0,9,1646703300,1009
10132,798.0,1,,0,1646703300,10132
10142,3.0,12229,,0,1646703300,10142
10148,601.0,1,,0,1646703300,10148
1017,,0,457.0,1,1646703300,1017
1019,,0,564.0,2,1646703300,1019
1025,111.0,3,,0,1646703300,1025
10280,,0,4016.0,1,1646703300,10280
10282,,0,3000.0,2,1646703300,10282
10284,,0,4711.0,1,1646703300,10284
10290,23856.0,1,,0,1646703300,10290
10292,,0,33587.0,1,1646703300,10292
10296,,0,3109.0,1,1646703300,10296
103,2501.0,100,2501.0,1,1646703300,103
1031,,0,1158.0,1,1646703300,1031
10326,,0,74.0,9,1646703300,10326
10327,,0,64.0,5,1646703300,10327
1033,4018.0,18,4440.0,3,1646703300,1033
1035,1549.0,8,,0,1646703300,1035
10364,14173.0,5,,0,1646703300,10364
10370,687391.0,1,655003.0,1,1646703300,10370
10372,850140.0,1,,0,1646703300,10372
10378,273203.0,1,271050.0,1,1646703300,10378
1038,,0,4000.0,2,1646703300,1038
10380,634942.0,1,615509.0,1,1646703300,10380
10388,886813.0,1,853208.0,1,1646703300,10388
10390,88050.0,3,,0,1646703300,10390
10394,4685000.0,1,4600000.0,2,1646703300,10394
1040,,0,3000.0,3,1646703300,1040
1042,,0,8383.0,2,1646703300,1042
1044,2398.0,1,2176.0,2,1646703300,1044
10440,5647.0,1,,0,1646703300,10440
10446,27299.0,2,25935.0,1,1646703300,10446
10452,,0,32265.0,1,1646703300,10452
10470,8875.0,2,,0,1646703300,10470
10472,9000.0,1,2011.0,1,1646703300,10472
10476,6670.0,150,6602.0,375,1646703300,10476
1048,,0,4289.0,2,1646703300,1048
10496,9999.0,3,,0,1646703300,10496
105,1719.0,91,1676.0,5,1646703300,105
1050,,0,5850.0,2,1646703300,1050
10564,57303.0,3,49824.0,3,1646703300,10564
10589,74000.0,1,,0,1646703300,10589
1059,151.0,2,,0,1646703300,1059
1061,,0,36.0,4,1646703300,1061
1063,18.0,1,,0,1646703300,1063
1065,1323.0,120,1314.0,1,1646703300,1065
1069,627.0,10,398.0,8,1646703300,1069
1071,1360.0,1,1338.0,3,1646703300,1071
1073,,0,3402.0,3,1646703300,1073
1079,37784.0,184,37500.0,68,1646703300,1079
1081,28.0,2,,0,1646703300,1081
10810,661.0,148,,0,1646703300,10810
10822,,0,1557.0,2,1646703300,10822
10828,,0,51432.0,14,1646703300,10828
1085,1400.0,1,,0,1646703300,1085
109,1150.0,1,1120.0,13,1646703300,109
1091,3950.0,1,,0,1646703300,1091
10925,28734.0,193,26842.0,90,1646703300,10925
10927,,0,14001.0,1,1646703300,10927
1093,,0,37810.0,41,1646703300,1093
10978,3501.0,1,,0,1646703300,10978
1099,2222.0,11,2105.0,3,1646703300,1099
1101,190.0,23,,0,1646703300,1101
1103,750.0,1,,0,1646703300,1103
11037,107430.0,1,107025.0,1,1646703300,11037
1105,300.0,1,,0,1646703300,1105
11065,426.0,1,,0,1646703300,11065
11072,523.0,2,490.0,12,1646703300,11072
11079,965.0,1,952.0,11,1646703300,11079
11090,2273.0,5,2222.0,3,1646703300,11090
11092,2095.0,1,2090.0,1692,1646703300,11092
11095,2378.0,1,2376.0,11,1646703300,11095
111,,0,8308.0,25,1646703300,111
11105,12650.0,15,,0,1646703300,11105
1111,,0,2986.0,2,1646703300,1111
11113,,0,12353.0,9,1646703300,11113
11118,12363.0,108,,0,1646703300,11118
11126,12439.0,26,12221.0,1166,1646703300,11126
11128,,0,1925195.0,1,1646703300,11128
1113,29446.0,4,29446.0,64,1646703300,1113
11133,,0,2050862.0,1,1646703300,11133
1119,838.0,143,,0,1646703300,1119
11200,,0,50806.0,1,1646703300,11200
1121,2775.0,4,2740.0,234,1646703300,1121
11212,1304.0,3092,1294.0,837,1646703300,11212
11229,,0,2253.0,20,1646703300,11229
1123,9551.0,798,9545.0,193,1646703300,1123
11230,1934.0,2000,1920.0,5314,1646703300,11230
11232,2206.0,9711,2206.0,16584,1646703300,11232
11235,723581.0,3,719791.0,3,1646703300,11235
11237,1277.0,63,1341.0,5294,1646703300,11237
11238,,0,1986.0,7,1646703300,11238
11240,,0,2509.0,25,1646703300,11240
11242,3246.0,2,3228.0,87,1646703300,11242
11244,,0,1799.0,19,1646703300,11244
11246,,0,2261.0,3,1646703300,11246
11248,4345.0,110,4271.0,4589,1646703300,11248
1125,3387.0,1,,0,1646703300,1125
11250,,0,4776.0,201,1646703300,11250
11252,22094.0,80,22000.0,49,1646703300,11252
11254,39917.0,40,39102.0,21,1646703300,11254
11256,,0,339500.0,4,1646703300,11256
11260,789.0,1100,764.0,31,1646703300,11260
1127,38479.0,50,38419.0,79,1646703300,1127
11284,3690738.0,4,3645514.0,4,1646703300,11284
11286,,0,3565000.0,1,1646703300,11286
1129,21.0,1,27.0,17,1646703300,1129
1131,,0,10.0,1,1646703300,1131
11324,,0,101.0,3,1646703300,11324
11326,264.0,4,,0,1646703300,11326
11328,,0,17.0,27,1646703300,11328
11330,,0,17.0,16,1646703300,11330
1135,4266.0,273,4239.0,1171,1646703300,1135
1137,20.0,2,,0,1646703300,1137
1139,600.0,3,600.0,1,1646703300,1139
1141,130.0,2,59.0,1,1646703300,1141
1143,1854.0,1,329.0,2,1646703300,1143
1147,,0,11059.0,35,1646703300,1147
1149,,0,58645.0,11,1646703300,1149
115,,0,263.0,147,1646703300,115
1153,64.0,5,,0,1646703300,1153
1155,115.0,31,152.0,1,1646703300,1155
1157,299.0,1,,0,1646703300,1157
1159,799.0,1,,0,1646703300,1159
1161,,0,1850.0,14,1646703300,1161
1163,20699.0,2,20504.0,111,1646703300,1163
1165,,0,401.0,4,1646703300,1165
1169,150.0,2,120.0,4,1646703300,1169
11785,35088548.0,2,34626843.0,2,1646703300,11785
11787,73599.0,1,58000.0,1,1646703300,11787
1179,,0,419.0,6,1646703300,1179
11802,,0,12336963.0,2,1646703300,11802
11804,14029210.0,6,13865651.0,3,1646703300,11804
11806,26689666.0,1,,0,1646703300,11806
1181,,0,729.0,16,1646703300,1181
11818,,0,152000.0,1,1646703300,11818
11822,,0,157001.0,1,1646703300,11822
11826,9300000.0,2,9196545.0,2,1646703300,11826
11828,39853655.0,1,39685770.0,3,1646703300,11828
1183,2299.0,2,,0,1646703300,1183
11830,35860332.0,4,35491676.0,4,1646703300,11830
11832,25463333.0,3,25300000.0,3,1646703300,11832
11834,21820000.0,2,,0,1646703300,11834
11838,280000.0,2,275805.0,1,1646703300,11838
11840,170060.0,8,167788.0,8,1646703300,11840
1185,,0,22550.0,22,1646703300,1185
1187,,0,299200.0,1,1646703300,1187
11875,61.0,21493,58.0,1650,1646703300,11875
11889,12887999.0,1,,0,1646703300,11889
1189,92.0,1,,0,1646703300,1189
11902,40247.0,5,,0,1646703300,11902
11905,,0,691604.0,1,1646703300,11905
11908,44270.0,1,44000.0,4,1646703300,11908
11920,4889724.0,6,4800104.0,9,1646703300,11920
11926,3096470.0,2,,0,1646703300,11926
