avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
189997.0,2,,0,1647195000,10
,0,9.0,14,1647195000,10006
67.0,10,,0,1647195000,10008
198.0,2,,0,1647195000,10010
50.0,12,,0,1647195000,10012
,0,98.0,64,1647195000,10020
24.0,1,,0,1647195000,10029
958.0,5704,951.0,202,1647195000,10034
261.0,2,,0,1647195000,10069
3900.0,1,,0,1647195000,10071
6000.0,1,,0,1647195000,10075
,0,1805.0,4,1647195000,10083
5.0,415,,0,1647195000,10087
,0,13.0,527,1647195000,10091
,0,30.0,1,1647195000,1011
101.0,3,,0,1647195000,1013
1.0,15,,0,1647195000,10147
426.0,2,,0,1647195000,10148
,0,77.0,1,1647195000,10158
408.0,1,404.0,2,1647195000,1017
,0,583.0,1,1647195000,1019
430.0,1,,0,1647195000,1021
,0,2841.0,1,1647195000,10282
,0,25420.0,1,1647195000,10290
23517.0,2,,0,1647195000,10292
4486.0,2,,0,1647195000,10296
,0,2777.0,561,1647195000,103
20549.0,2,,0,1647195000,10318
,0,80.0,3,1647195000,10326
,0,74.0,30,1647195000,10327
5058.0,1,4540.0,5,1647195000,1033
,0,1893.0,3,1647195000,1035
17750.0,1,17000.0,2,1647195000,10364
,0,36757.0,1,1647195000,10366
704985.0,4,,0,1647195000,10370
763686.0,2,,0,1647195000,10372
,0,17252.0,1,1647195000,10376
,0,236011.0,1,1647195000,10378
,0,94000.0,1,1647195000,10382
443704.0,6,,0,1647195000,10386
310392.0,1,,0,1647195000,10396
1112.0,1,,0,1647195000,10402
,0,9048.0,1,1647195000,1042
9450.0,2,,0,1647195000,10448
,0,16603.0,1,1647195000,10450
34164.0,1,,0,1647195000,10452
6747.0,16,6675.0,387,1647195000,10476
3200.0,10,,0,1647195000,1048
1517.0,1,,0,1647195000,10496
1714.0,140,1714.0,500,1647195000,105
73.0,3,25.0,197,1647195000,1059
27.0,129,,0,1647195000,1061
,0,5.0,1,1647195000,1063
911.0,1,510.0,2,1647195000,1065
,0,166.0,2,1647195000,1067
389.0,2,,0,1647195000,1069
2017.0,1,,0,1647195000,107
3579.0,125,3539.0,55,1647195000,1073
1468.0,2,1396.0,2,1647195000,1077
37793.0,21,37744.0,150,1647195000,1079
994.0,400,,0,1647195000,10810
905.0,8,,0,1647195000,10812
1999.0,1,,0,1647195000,10822
200.0,1,,0,1647195000,10824
