avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
8.0,1,,0,1647192600,10006
,0,56.0,20,1647192600,10008
198.0,2,,0,1647192600,10010
750.0,20,,0,1647192600,10025
973.0,3000,962.0,417,1647192600,10034
,0,2520.0,1,1647192600,10037
,0,12.0,1,1647192600,1005
150.0,2,,0,1647192600,1007
,0,4508.0,25,1647192600,10075
,0,1698.0,10,1647192600,10083
4581.0,1,3592.0,1,1647192600,10085
5.0,1124,,0,1647192600,10087
,0,13.0,244,1647192600,10091
,0,861.0,797,1647192600,101
59.0,2,,0,1647192600,1011
101.0,2,,0,1647192600,1013
1.0,30,,0,1647192600,10144
,0,404.0,1,1647192600,1017
650.0,1,,0,1647192600,1019
,0,761.0,2,1647192600,1027
4530.0,1,,0,1647192600,10296
,0,4590.0,1,1647192600,10298
,0,2607.0,19,1647192600,103
,0,6666.0,1,1647192600,10314
,0,90.0,46,1647192600,10326
,0,4600.0,1,1647192600,1033
90433333.0,1,,0,1647192600,10348
,0,2528.0,1,1647192600,1035
32799996.0,1,,0,1647192600,10352
,0,17000.0,1,1647192600,10364
39296.0,2,35564.0,2,1647192600,10366
134387.0,2,,0,1647192600,10368
720000.0,1,680211.0,3,1647192600,10370
754752.0,2,775004.0,2,1647192600,10372
78830.0,1,,0,1647192600,10374
,0,283738.0,4,1647192600,10378
,0,553830.0,4,1647192600,10380
98255.0,1,85505.0,1,1647192600,10382
696694.0,1,663520.0,6,1647192600,10388
82074.0,2,78008.0,1,1647192600,10390
,0,8000.0,1,1647192600,10392
4388888.0,2,,0,1647192600,10394
4167.0,1,125.0,1,1647192600,10428
14627.0,2,,0,1647192600,10448
,0,15019.0,2,1647192600,10450
,0,28911.0,2,1647192600,10456
93500.0,1,,0,1647192600,10466
6745.0,250,6675.0,268,1647192600,10476
,0,1671.0,6,1647192600,105
52450.0,1,50003.0,1,1647192600,10564
73.0,11,40.0,48,1647192600,1059
36.0,35,45.0,11,1647192600,1061
5.0,36,6.0,1,1647192600,1063
1046.0,143,1013.0,125,1647192600,1065
449.0,1,401.0,94,1647192600,1069
,0,1977.0,2012,1647192600,107
1359.0,1,1339.0,2,1647192600,1071
3579.0,126,3500.0,47,1647192600,1073
365.0,2,346.0,1,1647192600,1075
1459.0,4,1396.0,1,1647192600,1077
38170.0,16,37785.0,186,1647192600,1079
994.0,400,,0,1647192600,10810
905.0,8,,0,1647192600,10812
1999.0,1,,0,1647192600,10822
2367.0,5,,0,1647192600,10826
54825.0,39,54701.0,9,1647192600,10828
,0,373.0,8,1647192600,1083
1379.0,1,,0,1647192600,1085
,0,1118.0,3001,1647192600,109
3653.0,2,,0,1647192600,1091
31335.0,125,30790.0,25,1647192600,10925
37900.0,4,37863.0,23,1647192600,1093
10.0,12,5.0,99,1647192600,1095
650.0,2,545.0,6,1647192600,1097
,0,105.0,1,1647192600,10973
1624.0,1,,0,1647192600,10981
2194.0,2,2136.0,10,1647192600,1099
356.0,1,,0,1647192600,10999
59.0,4,,0,1647192600,1101
,0,130000.0,2,1647192600,11037
370.0,1,257.0,6,1647192600,1105
,0,885.0,1,1647192600,11079
,0,1078.0,126,1647192600,1109
,0,2265.0,108,1647192600,11095
,0,8723.0,14,1647192600,111
3150.0,1,,0,1647192600,1111
,0,12371.0,9,1647192600,11113
12751.0,3,,0,1647192600,11118
12185.0,9,12161.0,3,1647192600,11126
29531.0,16,29539.0,84,1647192600,1113
1918471.0,5,1896242.0,1,1647192600,11133
100.0,27,99.0,56,1647192600,1115
,0,75.0,2,1647192600,1117
,0,875.0,2,1647192600,1119
,0,2750.0,3467,1647192600,1121
1394.0,2500,1348.0,222,1647192600,11212
9542.0,153,9516.0,11,1647192600,1123
1949.0,1900,1914.0,3137,1647192600,11230
,0,2292.0,984,1647192600,11232
,0,2700.0,1,1647192600,11234
730301.0,2,697698.0,4,1647192600,11235
,0,1508.0,1698,1647192600,11237
,0,2003.0,12,1647192600,11238
,0,2501.0,43,1647192600,11240
4296.0,50,4015.0,831,1647192600,11242
,0,2100.0,11,1647192600,11244
,0,2500.0,16,1647192600,11246
4184.0,3209,4129.0,1430,1647192600,11248
3008.0,3,2979.0,1,1647192600,1125
,0,4725.0,36,1647192600,11250
21470.0,9,21431.0,2,1647192600,11252
41564.0,2,,0,1647192600,11254
846.0,102,836.0,627,1647192600,11260
,0,38392.0,346,1647192600,1127
3761350.0,5,3715468.0,2,1647192600,11284
,0,26.0,116,1647192600,1129
800.0,510,800.0,5,1647192600,113
6.0,6,,0,1647192600,1131
347.0,3,,0,1647192600,11326
404.0,3,395.0,1,1647192600,1133
4245.0,763,4241.0,1041,1647192600,1135
,0,11824.0,5,1647192600,11377
107.0,3,100.0,1,1647192600,1139
28.0,2,,0,1647192600,1141
301.0,1,,0,1647192600,1143
11048.0,30,11046.0,98,1647192600,1147
194.0,1,,0,1647192600,11473
,0,58677.0,11,1647192600,1149
,0,246.0,142,1647192600,115
,0,104.0,14,1647192600,1153
110.0,2,,0,1647192600,1155
122.0,2,,0,1647192600,1157
,0,753.0,7,1647192600,1159
,0,1733.0,9,1647192600,1161
20478.0,57,20399.0,336,1647192600,1163
424.0,3,401.0,1,1647192600,1165
5.0,15,14.0,3,1647192600,1167
40.0,27,35.0,1,1647192600,1169
,0,95.0,6,1647192600,1171
250.0,1,,0,1647192600,1177
36190265.0,3,35743552.0,11,1647192600,11785
,0,8241122.0,1,1647192600,11791
13016075.0,7,12989650.0,6,1647192600,11802
14485826.0,8,14310547.0,6,1647192600,11804
25683294.0,1,25280778.0,2,1647192600,11806
5253396.0,2,5200000.0,2,1647192600,11808
,0,740.0,4,1647192600,1181
,0,13556000.0,2,1647192600,11812
,0,153500.0,2,1647192600,11818
,0,153000.0,1,1647192600,11820
12850316.0,2,12684885.0,2,1647192600,11824
9549883.0,3,9451970.0,1,1647192600,11826
41843062.0,4,41230994.0,1,1647192600,11828
2093.0,2,2050.0,1,1647192600,1183
36000000.0,4,,0,1647192600,11830
25526564.0,3,25287788.0,5,1647192600,11832
21420040.0,6,21185253.0,8,1647192600,11834
254000.0,1,242637.0,8,1647192600,11836
268603.0,1,,0,1647192600,11838
176561.0,14,174226.0,18,1647192600,11840
,0,22515.0,26,1647192600,1185
,0,299405.0,1,1647192600,1187
61.0,6481,60.0,3000,1647192600,11875
,0,12905000.0,2,1647192600,11889
,0,89.0,1,1647192600,1189
,0,40000.0,1,1647192600,11902
729693.0,3,716616.0,2,1647192600,11905
43000.0,3,41000.0,1,1647192600,11908
,0,27.0,84,1647192600,1191
4835534.0,1,4778184.0,7,1647192600,11920
,0,2628238.0,1,1647192600,11924
3382745.0,3,,0,1647192600,11926
,0,1001000.0,1,1647192600,11928
300.0,1,249.0,1,1647192600,1193
,0,150069.0,1,1647192600,11930
1519.0,1,1484.0,29,1647192600,11936
,0,1423.0,2,1647192600,1195
62.0,60,,0,1647192600,11957
2448.0,3055,2410.0,214,1647192600,11959
12752.0,13,,0,1647192600,11968
940.0,4,923.0,2,1647192600,1197
12802.0,14,12810.0,1,1647192600,11972
12517.0,367,12260.0,104,1647192600,11978
13550.0,116,13659.0,1,1647192600,11980
2937.0,5,2926.0,19,1647192600,1199
1324.0,26,1324.0,440,1647192600,11992
202.0,1,202.0,6,1647192600,11994
2130551.0,1,2130551.0,1,1647192600,11998
,0,2235957.0,1,1647192600,12000
454742.0,8,440487.0,5,1647192600,12002
734647.0,8,717271.0,5,1647192600,12004
31958.0,7,31964.0,234,1647192600,1201
,0,79.0,19,1647192600,1203
,0,90.0,1,1647192600,1205
,0,53.0,1,1647192600,1207
,0,72.0,1,1647192600,1209
,0,304.0,10,1647192600,1211
4400.0,3,4377.0,42,1647192600,1213
18499.0,1,17355.0,35,1647192600,1215
160.0,4,,0,1647192600,1217
2272.0,1,,0,1647192600,12201
,0,30725.0,2,1647192600,12203
,0,5642.0,1,1647192600,12257
9199.0,2,,0,1647192600,12269
29778.0,1,27406.0,2,1647192600,12271
,0,6000.0,1,1647192600,12277
,0,4338.0,1,1647192600,12279
,0,6565.0,1,1647192600,12281
,0,7005.0,2,1647192600,12283
,0,4314.0,1,1647192600,12285
,0,3082.0,2,1647192600,12287
,0,2779.0,1,1647192600,12289
4817.0,2,4787.0,1,1647192600,12297
,0,5000.0,2,1647192600,12311
,0,4005.0,1,1647192600,12333
128055.0,1,,0,1647192600,12351
,0,8552.0,1,1647192600,12361
,0,202.0,2,1647192600,1237
,0,1292.0,4,1647192600,12377
,0,16955208.0,2,1647192600,12389
950.0,1,501.0,4,1647192600,1239
730320.0,1,,0,1647192600,12399
13150.0,7,12712.0,19,1647192600,12402
15999.0,20,15108.0,35,1647192600,12403
635.0,4,621.0,48,1647192600,12404
,0,4107.0,9,1647192600,12405
23033.0,14,21942.0,13,1647192600,12406
,0,479.0,11,1647192600,12407
2388.0,3,2321.0,46,1647192600,12408
13950.0,11,12730.0,40,1647192600,12409
67571.0,1,,0,1647192600,12410
781.0,31,750.0,11,1647192600,12411
179711.0,1,,0,1647192600,12434
,0,200000.0,1,1647192600,12441
85461.0,1,,0,1647192600,12443
49933.0,1,,0,1647192600,12468
,0,38300.0,1,1647192600,12474
48925.0,1,,0,1647192600,12482
,0,21093.0,1,1647192600,12486
57739.0,1,,0,1647192600,12490
246646.0,2,255880.0,5,1647192600,12492
533700.0,1,518000.0,1,1647192600,12494
