,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,175659.0,1,1646685900,10
10008,54.0,250,,0,1646685900,10008
10010,15.0,2,,0,1646685900,10010
10012,97.0,3,,0,1646685900,10012
10029,6.0,40,,0,1646685900,10029
10034,825.0,42552,823.0,5112,1646685900,10034
1005,,0,102.0,2,1646685900,1005
10061,1.0,2,,0,1646685900,10061
10069,1400.0,1,,0,1646685900,10069
1007,151.0,1,150.0,3,1646685900,1007
10075,3532.0,4,3382.0,61,1646685900,10075
10083,,0,1710.0,1,1646685900,10083
10087,5.0,455,,0,1646685900,10087
10090,,0,97.0,8,1646685900,10090
101,882.0,518,,0,1646685900,101
1011,58.0,3,,0,1646685900,1011
1013,110.0,4,,0,1646685900,1013
10143,,0,2.0,7000,1646685900,10143
10144,1.0,15,,0,1646685900,10144
10146,50.0,2,,0,1646685900,10146
10148,614.0,1,600.0,19,1646685900,10148
1017,800.0,1,,0,1646685900,1017
1019,650.0,1,400.0,3,1646685900,1019
1021,,0,172.0,1,1646685900,1021
10286,39999.0,2,,0,1646685900,10286
10294,22844.0,2,,0,1646685900,10294
10296,,0,3162.0,5,1646685900,10296
10298,,0,4519.0,3,1646685900,10298
103,3181.0,1,2626.0,2881,1646685900,103
1031,2000.0,1,,0,1646685900,1031
10312,,0,6647.0,1,1646685900,10312
10326,,0,100.0,11,1646685900,10326
10327,88.0,222,80.0,41,1646685900,10327
1033,4229.0,26,,0,1646685900,1033
1035,,0,2277.0,2,1646685900,1035
10364,15703.0,1,,0,1646685900,10364
10366,,0,35006.0,1,1646685900,10366
10370,,0,656206.0,1,1646685900,10370
10374,85963.0,1,,0,1646685900,10374
10376,27500.0,1,,0,1646685900,10376
10384,74244.0,1,74244.0,1,1646685900,10384
10388,,0,772140.0,1,1646685900,10388
10394,4574999.0,3,,0,1646685900,10394
1044,2477.0,6,,0,1646685900,1044
10442,,0,5000.0,1,1646685900,10442
10450,15865.0,2,,0,1646685900,10450
10456,,0,12700.0,1,1646685900,10456
10468,,0,138000.0,1,1646685900,10468
10476,,0,6617.0,720,1646685900,10476
1048,2498.0,2,,0,1646685900,1048
10496,2000.0,2,,0,1646685900,10496
105,1639.0,2342,,0,1646685900,105
1050,5231.0,11,,0,1646685900,1050
1057,5998.0,1,,0,1646685900,1057
1059,19.0,17,20.0,1,1646685900,1059
1061,99.0,1,36.0,3,1646685900,1061
1063,,0,6.0,1,1646685900,1063
1065,1322.0,4,1319.0,13,1646685900,1065
1069,,0,394.0,316,1646685900,1069
107,1978.0,1,,0,1646685900,107
1071,1360.0,3,,0,1646685900,1071
1073,3488.0,11,3481.0,23,1646685900,1073
1077,,0,1600.0,1,1646685900,1077
1079,37802.0,200,37718.0,135,1646685900,1079
10812,897.0,8,,0,1646685900,10812
10814,,0,500.0,69,1646685900,10814
10822,1999.0,3,,0,1646685900,10822
10824,450.0,3,,0,1646685900,10824
10826,2148.0,4,,0,1646685900,10826
10828,53034.0,14,51963.0,59,1646685900,10828
1085,1268.0,12,,0,1646685900,1085
10925,27222.0,110,26745.0,93,1646685900,10925
1093,37948.0,9,37850.0,43,1646685900,1093
1095,10.0,3,,0,1646685900,1095
1097,989.0,5,545.0,2,1646685900,1097
1099,,0,2078.0,35,1646685900,1099
11061,,0,5000.0,1,1646685900,11061
11069,,0,209.0,2019,1646685900,11069
11072,,0,608.0,10,1646685900,11072
11076,,0,810.0,14,1646685900,11076
1109,,0,1048.0,1,1646685900,1109
11090,2386.0,52,,0,1646685900,11090
11092,2050.0,900,2047.0,9,1646685900,11092
1111,2760.0,1,,0,1646685900,1111
11113,,0,12352.0,11,1646685900,11113
11115,11782.0,327,11782.0,327,1646685900,11115
11118,,0,12090.0,1,1646685900,11118
11126,12448.0,22,,0,1646685900,11126
11128,1942471.0,2,,0,1646685900,11128
1113,29446.0,2,29464.0,74,1646685900,1113
11133,1940000.0,1,1916712.0,2,1646685900,11133
1115,135.0,4,96.0,399,1646685900,1115
1119,,0,890.0,94,1646685900,1119
11200,57000.0,4,51390.0,2,1646685900,11200
1121,2823.0,251,2783.0,6,1646685900,1121
11212,1297.0,500,1266.0,302,1646685900,11212
11229,2397.0,2101,,0,1646685900,11229
1123,9548.0,579,9535.0,18,1646685900,1123
11230,1930.0,1501,1897.0,1,1646685900,11230
11232,,0,2221.0,2525,1646685900,11232
11235,716054.0,1,,0,1646685900,11235
11237,,0,1345.0,1771,1646685900,11237
11238,,0,1950.0,8,1646685900,11238
11240,2637.0,22,2550.0,69,1646685900,11240
