,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,175658.0,1,1646696100,10
10006,9.0,3,8.0,1,1646696100,10006
10008,54.0,250,,0,1646696100,10008
10010,15.0,1,,0,1646696100,10010
10012,112.0,10,,0,1646696100,10012
10018,416.0,125,,0,1646696100,10018
10029,6.0,2,,0,1646696100,10029
10034,837.0,8769,,0,1646696100,10034
10035,,0,1186.0,1,1646696100,10035
1005,,0,102.0,3,1646696100,1005
1007,204.0,6,200.0,6,1646696100,1007
10083,,0,1703.0,16,1646696100,10083
10085,2595.0,1,2396.0,1,1646696100,10085
101,882.0,116,882.0,880,1646696100,101
1011,61.0,1,,0,1646696100,1011
1013,237.0,3,110.0,1,1646696100,1013
10136,,0,90.0,15,1646696100,10136
10138,,0,425.0,84,1646696100,10138
10145,,0,5.0,489,1646696100,10145
10146,,0,56.0,6,1646696100,10146
1019,650.0,1,,0,1646696100,1019
1027,2000.0,2,,0,1646696100,1027
10280,5187.0,2,,0,1646696100,10280
10282,,0,2904.0,2,1646696100,10282
10294,24046.0,1,,0,1646696100,10294
10298,,0,4519.0,1,1646696100,10298
103,2563.0,102,,0,1646696100,103
10318,23829.0,1,,0,1646696100,10318
10326,93.0,30,99.0,42,1646696100,10326
1033,4124.0,2,4012.0,1,1646696100,1033
1035,1321.0,15,1025.0,1,1646696100,1035
10364,17398.0,2,,0,1646696100,10364
10366,,0,50000.0,1,1646696100,10366
10368,,0,153662.0,3,1646696100,10368
10372,875919.0,1,,0,1646696100,10372
10376,27500.0,2,,0,1646696100,10376
10378,279991.0,3,275782.0,2,1646696100,10378
10380,605821.0,2,593565.0,2,1646696100,10380
10384,96800.0,1,,0,1646696100,10384
10388,792657.0,2,767641.0,1,1646696100,10388
10390,87089.0,2,,0,1646696100,10390
10446,27299.0,2,,0,1646696100,10446
10448,,0,15525.0,2,1646696100,10448
10454,33308.0,1,,0,1646696100,10454
10456,29552.0,1,,0,1646696100,10456
1046,5253.0,2,,0,1646696100,1046
10462,,0,150000.0,1,1646696100,10462
10466,96000.0,1,,0,1646696100,10466
10476,,0,6607.0,65,1646696100,10476
10496,,0,5000.0,1,1646696100,10496
1061,35.0,19,33.0,1,1646696100,1061
1063,7.0,1,,0,1646696100,1063
1065,,0,1319.0,43,1646696100,1065
1067,87.0,1,,0,1646696100,1067
1071,1360.0,1,1318.0,22,1646696100,1071
1073,,0,3481.0,24,1646696100,1073
1077,1439.0,3,,0,1646696100,1077
1079,37802.0,9,37782.0,336,1646696100,1079
1081,,0,10.0,37,1646696100,1081
10812,897.0,16,,0,1646696100,10812
10822,1047.0,1,,0,1646696100,10822
10824,325.0,1,,0,1646696100,10824
10826,2148.0,3,1099.0,1,1646696100,10826
10828,52830.0,23,51050.0,2,1646696100,10828
10925,27370.0,22,26759.0,13,1646696100,10925
1093,,0,37806.0,22,1646696100,1093
10954,552.0,10,,0,1646696100,10954
1097,987.0,2,,0,1646696100,1097
1099,2222.0,102,2078.0,39,1646696100,1099
1101,190.0,1,,0,1646696100,1101
11037,,0,110780.0,4,1646696100,11037
1105,264.0,1,,0,1646696100,1105
11065,750.0,1,,0,1646696100,11065
11069,,0,235.0,280,1646696100,11069
11079,,0,952.0,3,1646696100,11079
11090,,0,2301.0,5,1646696100,11090
11092,2095.0,1,2051.0,773,1646696100,11092
111,8308.0,6,8308.0,1,1646696100,111
11105,12650.0,2,10005.0,4,1646696100,11105
11113,,0,12353.0,32,1646696100,11113
11115,,0,11850.0,2,1646696100,11115
11118,12363.0,10,,0,1646696100,11118
11126,12220.0,160,12221.0,408,1646696100,11126
11128,1926274.0,1,1915969.0,1,1646696100,11128
1113,,0,29449.0,27,1646696100,1113
11133,1914856.0,4,1900000.0,3,1646696100,11133
1115,89.0,1,88.0,1,1646696100,1115
1121,2655.0,2,2628.0,3,1646696100,1121
11212,1304.0,2504,1298.0,1135,1646696100,11212
11229,,0,2253.0,87,1646696100,11229
1123,9539.0,560,9470.0,13,1646696100,1123
11230,1970.0,799,1941.0,184,1646696100,11230
11232,,0,2246.0,6440,1646696100,11232
11235,728129.0,1,713080.0,2,1646696100,11235
11237,,0,1259.0,833,1646696100,11237
11240,,0,2509.0,2,1646696100,11240
11242,,0,3240.0,3,1646696100,11242
11244,,0,1799.0,2,1646696100,11244
11246,,0,2271.0,1,1646696100,11246
11248,4262.0,28,4262.0,660,1646696100,11248
1125,3250.0,1,2844.0,1,1646696100,1125
11250,,0,4758.0,27,1646696100,11250
11252,,0,21406.0,13,1646696100,11252
11254,,0,39100.0,7,1646696100,11254
11256,,0,339500.0,2,1646696100,11256
11260,756.0,429,740.0,18,1646696100,11260
1127,38391.0,22,38393.0,154,1646696100,1127
11284,3589808.0,1,,0,1646696100,11284
1129,,0,60.0,1,1646696100,1129
113,352.0,40,,0,1646696100,113
1131,1.0,125,,0,1646696100,1131
1133,450.0,1,,0,1646696100,1133
1135,4275.0,2,4240.0,2769,1646696100,1135
11377,,0,11905.0,7,1646696100,11377
1139,103.0,1,,0,1646696100,1139
1143,1999.0,1,370.0,1,1646696100,1143
1147,,0,10979.0,38,1646696100,1147
1149,,0,58750.0,3,1646696100,1149
1159,,0,796.0,2,1646696100,1159
1161,,0,1850.0,12,1646696100,1161
1163,20483.0,4,20547.0,204,1646696100,1163
1165,666.0,2,401.0,1,1646696100,1165
1169,33.0,3,,0,1646696100,1169
117,,0,148.0,1,1646696100,117
1171,98.0,1,,0,1646696100,1171
11785,35091412.0,4,34667413.0,8,1646696100,11785
11787,89500.0,1,,0,1646696100,11787
1179,419.0,4,,0,1646696100,1179
11802,12470610.0,8,12288863.0,6,1646696100,11802
11804,14079999.0,2,13851514.0,10,1646696100,11804
11806,26473135.0,1,25913887.0,2,1646696100,11806
11808,4561520.0,1,4500000.0,3,1646696100,11808
1181,722.0,2,758.0,1,1646696100,1181
11818,,0,152001.0,2,1646696100,11818
11822,,0,157001.0,2,1646696100,11822
11826,9221160.0,2,9060317.0,2,1646696100,11826
11828,39853654.0,2,39631828.0,2,1646696100,11828
1183,,0,1604.0,8,1646696100,1183
11830,36229485.0,4,35665126.0,2,1646696100,11830
11832,25550000.0,6,25402435.0,5,1646696100,11832
11834,21814506.0,3,21641289.0,5,1646696100,11834
11840,170671.0,3,168082.0,8,1646696100,11840
1185,,0,22554.0,15,1646696100,1185
1187,,0,299200.0,1,1646696100,1187
11875,65.0,3000,64.0,174,1646696100,11875
11889,12734334.0,1,12734334.0,1,1646696100,11889
11902,,0,40200.0,32,1646696100,11902
11905,707159.0,1,670060.0,1,1646696100,11905
1191,20.0,1,,0,1646696100,1191
11920,4806234.0,3,4762974.0,2,1646696100,11920
11926,3107731.0,2,,0,1646696100,11926
11936,1655.0,1,,0,1646696100,11936
11940,1.0,330,,0,1646696100,11940
11951,136.0,104,,0,1646696100,11951
11957,49.0,1,,0,1646696100,11957
11959,2195.0,11500,,0,1646696100,11959
11968,12860.0,16,12326.0,98,1646696100,11968
1197,,0,1032.0,36,1646696100,1197
11972,12618.0,1,,0,1646696100,11972
11978,,0,12654.0,2,1646696100,11978
11980,13840.0,209,13364.0,45,1646696100,11980
1199,,0,2895.0,20,1646696100,1199
11994,,0,214.0,1923,1646696100,11994
12,190000.0,1,185567.0,1,1646696100,12
12000,2570000.0,1,,0,1646696100,12000
12002,459981.0,6,458813.0,9,1646696100,12002
12004,897994.0,1,,0,1646696100,12004
1201,31930.0,51,31911.0,241,1646696100,1201
1211,,0,250.0,4,1646696100,1211
1213,4444.0,21,4386.0,11,1646696100,1213
1215,17280.0,27,17301.0,552,1646696100,1215
12203,32597.0,3,,0,1646696100,12203
12225,,0,76684.0,1,1646696100,12225
12227,,0,7931.0,1,1646696100,12227
12255,,0,100649.0,1,1646696100,12255
12257,7065.0,2,,0,1646696100,12257
12271,40000.0,1,,0,1646696100,12271
12275,15000.0,1,,0,1646696100,12275
12277,,0,7311.0,1,1646696100,12277
12279,,0,8631.0,1,1646696100,12279
12281,,0,6199.0,2,1646696100,12281
12283,,0,6310.0,1,1646696100,12283
12293,,0,2000.0,2,1646696100,12293
12297,4987.0,1,4741.0,1,1646696100,12297
12307,,0,2020.0,1,1646696100,12307
12313,,0,4110.0,1,1646696100,12313
12345,,0,1000.0,1,1646696100,12345
12347,,0,1824.0,1,1646696100,12347
12359,,0,4429.0,1,1646696100,12359
1237,338.0,3,,0,1646696100,1237
12373,,0,48000.0,1,1646696100,12373
12377,,0,2084.0,1,1646696100,12377
