,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,,0,175659.0,4,1646698800,10
10000,,0,4001.0,1,1646698800,10000
10006,8.0,39,,0,1646698800,10006
10010,15.0,1,,0,1646698800,10010
10029,6.0,1,,0,1646698800,10029
10033,,0,840.0,248,1646698800,10033
10034,839.0,7190,,0,1646698800,10034
1005,150.0,4,102.0,2,1646698800,1005
10069,,0,1250.0,1,1646698800,10069
1007,204.0,2,,0,1646698800,1007
10089,,0,83.0,10,1646698800,10089
1009,,0,169.0,2,1646698800,1009
101,882.0,301,,0,1646698800,101
10101,347.0,3,,0,1646698800,10101
10143,1.0,15,,0,1646698800,10143
10147,25.0,1,,0,1646698800,10147
10148,,0,550.0,16,1646698800,10148
1017,1000.0,1,,0,1646698800,1017
1019,650.0,1,,0,1646698800,1019
10300,3149.0,1,3016.0,1,1646698800,10300
10326,,0,99.0,22,1646698800,10326
1033,,0,4229.0,3,1646698800,1033
10340,,0,32501111.0,1,1646698800,10340
10344,26262626.0,2,,0,1646698800,10344
1035,1570.0,5,,0,1646698800,1035
10368,,0,163815.0,1,1646698800,10368
10370,708555.0,1,648617.0,2,1646698800,10370
10372,866333.0,4,,0,1646698800,10372
10374,91352.0,1,,0,1646698800,10374
10378,,0,265000.0,2,1646698800,10378
10382,97187.0,1,,0,1646698800,10382
10384,74244.0,1,74244.0,1,1646698800,10384
10386,446524.0,2,431664.0,3,1646698800,10386
10388,,0,827254.0,2,1646698800,10388
1040,,0,3111.0,1,1646698800,1040
10448,,0,10511.0,1,1646698800,10448
10450,,0,15050.0,1,1646698800,10450
10454,33308.0,8,,0,1646698800,10454
10470,8011.0,2,,0,1646698800,10470
10472,,0,5500.0,1,1646698800,10472
10476,,0,6604.0,125,1646698800,10476
105,,0,1675.0,1,1646698800,105
1059,81.0,3,26.0,67,1646698800,1059
1061,34.0,13,30.0,21,1646698800,1061
1063,,0,6.0,15,1646698800,1063
1065,1322.0,4,,0,1646698800,1065
1069,378.0,4,,0,1646698800,1069
107,,0,1873.0,1,1646698800,107
1071,1360.0,1,1332.0,1,1646698800,1071
1073,3481.0,2,3481.0,8,1646698800,1073
1075,363.0,2,,0,1646698800,1075
1077,1768.0,2,1600.0,1,1646698800,1077
1079,37802.0,28,37811.0,482,1646698800,1079
1081,28.0,2,,0,1646698800,1081
10812,897.0,8,,0,1646698800,10812
10822,1999.0,3,,0,1646698800,10822
10824,450.0,2,,0,1646698800,10824
10826,2148.0,4,,0,1646698800,10826
10828,52896.0,14,51005.0,4,1646698800,10828
10925,27355.0,137,26759.0,8,1646698800,10925
1093,37805.0,2,37895.0,39,1646698800,1093
1095,10.0,1,5.0,44,1646698800,1095
1097,987.0,1,545.0,1,1646698800,1097
10981,1115.0,1,,0,1646698800,10981
1099,2222.0,2,2147.0,36,1646698800,1099
1101,190.0,2,92.0,1,1646698800,1101
11037,112541.0,1,,0,1646698800,11037
1105,300.0,1,,0,1646698800,1105
1109,1088.0,1,1048.0,8,1646698800,1109
11090,2328.0,4,2273.0,1,1646698800,11090
11092,2095.0,1,,0,1646698800,11092
11105,,0,12035.0,4,1646698800,11105
1111,3749.0,1,3520.0,4,1646698800,1111
11113,,0,12353.0,11,1646698800,11113
11115,12049.0,665,11950.0,3,1646698800,11115
11118,12363.0,3,12090.0,7,1646698800,11118
11126,12221.0,1,12221.0,24,1646698800,11126
11128,1960617.0,1,1931737.0,2,1646698800,11128
1113,29533.0,4,29446.0,28,1646698800,1113
11133,1900000.0,2,1897300.0,3,1646698800,11133
1117,37.0,1,,0,1646698800,1117
1119,919.0,1,900.0,99,1646698800,1119
1121,,0,2737.0,3,1646698800,1121
11212,1291.0,4000,1281.0,236,1646698800,11212
11229,,0,2253.0,16,1646698800,11229
1123,9551.0,130,9300.0,4149,1646698800,1123
11230,1955.0,6880,1936.0,519,1646698800,11230
11232,2206.0,13,2212.0,1175,1646698800,11232
11234,3100.0,1,,0,1646698800,11234
11235,714588.0,4,701621.0,1,1646698800,11235
11237,,0,1200.0,855,1646698800,11237
11238,,0,1986.0,12,1646698800,11238
11240,,0,2509.0,1,1646698800,11240
11242,3268.0,99,3240.0,19,1646698800,11242
11244,1799.0,29,1799.0,3,1646698800,11244
11246,,0,2294.0,77,1646698800,11246
11248,4364.0,665,4299.0,660,1646698800,11248
11250,,0,4758.0,49,1646698800,11250
11252,,0,21431.0,38,1646698800,11252
11254,,0,39100.0,17,1646698800,11254
11256,,0,339500.0,4,1646698800,11256
11260,790.0,910,758.0,562,1646698800,11260
1127,38396.0,293,38281.0,117,1646698800,1127
11284,3699997.0,2,3580911.0,2,1646698800,11284
1129,97.0,1,42.0,64,1646698800,1129
113,352.0,3,347.0,91,1646698800,113
1131,,0,2.0,1,1646698800,1131
11324,,0,101.0,120,1646698800,11324
1133,450.0,2,432.0,3,1646698800,1133
1135,4300.0,1,4241.0,1,1646698800,1135
11367,,0,10000.0,1,1646698800,11367
11377,,0,11958.0,18,1646698800,11377
1139,103.0,24,500.0,1,1646698800,1139
1141,130.0,2,,0,1646698800,1141
1143,1999.0,1,,0,1646698800,1143
11453,242.0,130,,0,1646698800,11453
11469,,0,175.0,1,1646698800,11469
1147,11041.0,6,11042.0,24,1646698800,1147
1149,61352.0,2,58864.0,11,1646698800,1149
115,224.0,4,,0,1646698800,115
1155,95.0,2,,0,1646698800,1155
1157,296.0,1,,0,1646698800,1157
1159,,0,796.0,4,1646698800,1159
1161,1674.0,5,1729.0,1432,1646698800,1161
1163,20483.0,34,20505.0,144,1646698800,1163
1167,,0,6.0,44,1646698800,1167
1169,34.0,6,,0,1646698800,1169
11785,35057530.0,4,34602405.0,1,1646698800,11785
1179,,0,419.0,9,1646698800,1179
11802,12417630.0,8,12306726.0,1,1646698800,11802
11804,,0,13859715.0,4,1646698800,11804
11808,,0,4525354.0,2,1646698800,11808
1181,,0,795.0,1,1646698800,1181
11818,,0,152001.0,2,1646698800,11818
11822,,0,157001.0,2,1646698800,11822
11824,,0,12502816.0,1,1646698800,11824
11826,9332339.0,1,9352303.0,1,1646698800,11826
11828,,0,39373221.0,2,1646698800,11828
11832,,0,25357028.0,9,1646698800,11832
11834,21777407.0,5,21475124.0,2,1646698800,11834
11838,319300.0,3,300504.0,8,1646698800,11838
11840,170228.0,8,167968.0,14,1646698800,11840
1185,,0,22514.0,19,1646698800,1185
