,avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
10,194140.0,1,,0,1646684700,10
10006,9.0,3,,0,1646684700,10006
10008,54.0,100,,0,1646684700,10008
10010,15.0,2,,0,1646684700,10010
10012,499.0,1,,0,1646684700,10012
10020,,0,97.0,14,1646684700,10020
10034,840.0,21060,826.0,358,1646684700,10034
10083,,0,1710.0,3,1646684700,10083
1009,,0,169.0,1,1646684700,1009
101,,0,841.0,14,1646684700,101
1013,110.0,2,,0,1646684700,1013
10143,,0,2.0,7000,1646684700,10143
10147,23.0,1,,0,1646684700,10147
10156,1771.0,2,,0,1646684700,10156
10159,,0,876.0,4,1646684700,10159
1017,,0,703.0,1,1646684700,1017
1019,489.0,1,,0,1646684700,1019
10286,38665.0,2,,0,1646684700,10286
10292,21601.0,2,,0,1646684700,10292
103,,0,2680.0,160,1646684700,103
10326,,0,90.0,16,1646684700,10326
10327,54.0,26,,0,1646684700,10327
1033,4229.0,16,4138.0,1,1646684700,1033
1035,,0,1425.0,6,1646684700,1035
10352,,0,31086003.0,1,1646684700,10352
10354,54149.0,1,,0,1646684700,10354
10364,16391.0,6,,0,1646684700,10364
10366,,0,35006.0,1,1646684700,10366
10370,700000.0,4,,0,1646684700,10370
10372,870198.0,2,,0,1646684700,10372
10374,109035.0,1,90952.0,1,1646684700,10374
10378,,0,270324.0,1,1646684700,10378
1038,,0,2275.0,10,1646684700,1038
10380,590757.0,1,585454.0,2,1646684700,10380
10382,107000.0,1,,0,1646684700,10382
10386,455222.0,1,,0,1646684700,10386
10390,,0,83003.0,1,1646684700,10390
10394,4387635.0,1,,0,1646684700,10394
1042,,0,7000.0,10,1646684700,1042
10446,27299.0,1,,0,1646684700,10446
10462,103387.0,1,,0,1646684700,10462
10464,115308.0,1,,0,1646684700,10464
10476,,0,6621.0,166,1646684700,10476
1048,,0,2744.0,10,1646684700,1048
10496,2000.0,3,,0,1646684700,10496
105,1719.0,5500,,0,1646684700,105
1050,5900.0,1,5600.0,1,1646684700,1050
10589,,0,27579.0,1,1646684700,10589
1059,20.0,4,19.0,13,1646684700,1059
1061,99.0,1,36.0,16,1646684700,1061
1063,,0,6.0,2,1646684700,1063
1065,1447.0,1,1334.0,17,1646684700,1065
1067,91.0,1,,0,1646684700,1067
1069,627.0,2,,0,1646684700,1069
1071,1360.0,1,1332.0,10,1646684700,1071
1073,3559.0,3,3481.0,8,1646684700,1073
1075,382.0,77,,0,1646684700,1075
1077,,0,1600.0,3,1646684700,1077
1079,37938.0,80,37862.0,105,1646684700,1079
10812,853.0,16,,0,1646684700,10812
10822,1102.0,2,,0,1646684700,10822
10826,1864.0,4,,0,1646684700,10826
10828,52638.0,13,51501.0,3,1646684700,10828
1085,1400.0,1,1260.0,1,1646684700,1085
109,,0,1100.0,5100,1646684700,109
1091,3492.0,2,,0,1646684700,1091
10925,27370.0,149,26740.0,9,1646684700,10925
1093,37925.0,50,37903.0,51,1646684700,1093
1095,5.0,12,5.0,377,1646684700,1095
1097,989.0,1,545.0,8,1646684700,1097
1099,,0,2078.0,10,1646684700,1099
1101,80.0,4,96.0,2,1646684700,1101
11037,148521.0,1,125916.0,1,1646684700,11037
1105,251.0,2,,0,1646684700,1105
11069,210.0,6000,,0,1646684700,11069
11072,,0,608.0,14,1646684700,11072
11085,,0,1235.0,23,1646684700,11085
1109,,0,1048.0,2,1646684700,1109
11090,2386.0,20,2273.0,24,1646684700,11090
11092,2047.0,1001,2047.0,3,1646684700,11092
11095,,0,2299.0,1500,1646684700,11095
1111,2760.0,9,2624.0,3,1646684700,1111
11113,12448.0,2,12352.0,18,1646684700,11113
11115,,0,11853.0,675,1646684700,11115
11126,12448.0,21,12267.0,51,1646684700,11126
11128,1926274.0,2,,0,1646684700,11128
